date,open,high,low,close,volume
2018-06-18 09:40:00,30.0,30.0,30.0,30.0,1413185
2018-06-18 09:45:00,30.0,30.0,30.0,30.0,0
2018-06-18 09:50:00,30.0,30.0,30.0,30.0,0
2018-06-18 09:55:00,30.0,30.0,30.0,30.0,0
2018-06-18 10:00:00,29.4,30.7,28.5,28.5,1887819
2018-06-18 10:05:00,28.5,28.6,28.5,28.5,406874
2018-06-18 10:10:00,28.5,29.0,28.5,29.0,262011
2018-06-18 10:15:00,29.0,30.0,29.0,30.0,92610
2018-06-18 10:20:00,30.0,31.25,30.0,31.2,147542
2018-06-18 10:25:00,31.2,31.5,31.1,31.4,157905
2018-06-18 10:30:00,31.35,31.5,30.7,31.45,91946
2018-06-18 10:35:00,31.45,31.45,31.0,31.1,22471
2018-06-18 10:40:00,31.35,31.4,30.0,30.4,35159
2018-06-18 10:45:00,30.45,31.2,30.45,31.2,22736
2018-06-18 10:50:00,31.0,31.35,30.9,31.0,27919
2018-06-18 10:55:00,31.0,31.25,30.8,31.0,8457
2018-06-18 11:00:00,31.25,31.5,31.0,31.05,173819
2018-06-18 11:05:00,31.05,31.5,31.05,31.25,11363
2018-06-18 11:10:00,31.25,31.45,30.7,31.0,32071
2018-06-18 11:15:00,31.0,31.5,30.8,31.5,24217
2018-06-18 11:20:00,31.5,31.5,30.8,31.35,15170
2018-06-18 11:25:00,31.35,31.35,31.0,31.35,5226
2018-06-18 11:30:00,31.35,31.35,30.8,31.0,44432
2018-06-18 11:35:00,31.0,31.45,30.8,31.45,15914
2018-06-18 11:40:00,31.45,31.5,30.8,31.0,25281
2018-06-18 11:45:00,30.8,31.0,30.7,31.0,4293
2018-06-18 11:50:00,31.0,31.35,30.7,31.2,17550
2018-06-18 11:55:00,31.2,31.35,30.7,31.0,28978
2018-06-18 12:00:00,31.0,31.0,30.75,30.95,7168
2018-06-18 12:05:00,30.95,30.95,30.75,30.95,16570
2018-06-18 12:10:00,30.95,31.4,30.9,31.25,117740
2018-06-18 12:15:00,31.25,31.5,30.1,30.15,150949
2018-06-18 12:20:00,30.15,31.5,30.05,31.25,152019
2018-06-18 12:25:00,31.5,31.5,30.5,31.35,147615
2018-06-18 12:30:00,31.35,31.5,31.35,31.5,118182
2018-06-18 12:35:00,31.5,31.5,30.6,31.5,119760
2018-06-18 12:40:00,31.5,31.5,30.0,31.0,107416
2018-06-18 12:45:00,31.0,31.45,29.7,30.5,106039
2018-06-18 12:50:00,30.5,31.45,30.0,31.0,121808
2018-06-18 12:55:00,31.0,31.5,31.0,31.2,128837
2018-06-18 13:00:00,31.0,31.5,31.0,31.0,125109
2018-06-18 13:05:00,31.0,31.5,31.0,31.5,119807
2018-06-18 13:10:00,31.5,31.5,31.0,31.2,124209
2018-06-18 13:15:00,31.5,31.5,31.0,31.2,151783
2018-06-18 13:20:00,31.2,31.5,31.2,31.5,4046
2018-06-18 13:25:00,31.5,31.5,31.5,31.5,388
2018-06-18 13:30:00,31.5,31.5,31.5,31.5,49
2018-06-18 13:35:00,31.5,31.5,31.5,31.5,127
2018-06-18 13:40:00,31.5,31.5,31.5,31.5,787
2018-06-18 13:45:00,31.5,31.5,31.5,31.5,777
2018-06-18 13:50:00,31.5,31.5,31.5,31.5,4218
2018-06-18 13:55:00,31.5,31.5,31.5,31.5,11391
2018-06-18 14:00:00,31.5,31.5,31.5,31.5,1
2018-06-18 14:05:00,31.5,31.5,31.5,31.5,787
2018-06-18 14:10:00,31.5,31.5,31.5,31.5,45591
2018-06-18 14:15:00,31.5,31.5,31.5,31.5,26088
2018-06-18 14:20:00,31.5,31.5,31.5,31.5,152
2018-06-18 14:25:00,31.5,31.5,31.5,31.5,25010
2018-06-18 14:30:00,31.5,31.5,31.5,31.5,2
2018-06-18 14:35:00,31.5,31.5,31.5,31.5,116
2018-06-18 14:40:00,31.5,31.5,31.5,31.5,25666
2018-06-18 14:45:00,31.5,31.5,31.5,31.5,35408
2018-06-18 14:50:00,31.5,31.5,31.5,31.5,28601
2018-06-18 14:55:00,31.5,31.5,31.5,31.5,670
2018-06-18 15:00:00,31.5,31.5,31.5,31.5,137
2018-06-18 15:05:00,31.5,31.5,31.5,31.5,660
2018-06-18 15:10:00,31.5,31.5,31.5,31.5,351
2018-06-18 15:15:00,31.5,31.5,31.5,31.5,643
2018-06-18 15:20:00,31.5,31.5,31.5,31.5,4535
2018-06-18 15:25:00,31.5,31.5,31.5,31.5,30
2018-06-19 09:15:00,32.7,32.95,32.4,32.65,361287
2018-06-19 09:20:00,32.65,33.05,32.4,32.75,192681
2018-06-19 09:25:00,32.75,33.05,32.7,33.05,38448
2018-06-19 09:30:00,33.05,33.05,33.05,33.05,9898
2018-06-19 09:35:00,33.05,33.05,33.05,33.05,4944
2018-06-19 09:40:00,33.05,33.05,33.05,33.05,40942
2018-06-19 09:45:00,33.05,33.05,33.05,33.05,19952
2018-06-19 09:50:00,33.05,33.05,33.05,33.05,1288
2018-06-19 09:55:00,33.05,33.05,33.05,33.05,290
2018-06-19 10:00:00,33.05,33.05,33.05,33.05,58
2018-06-19 10:05:00,33.05,33.05,33.05,33.05,4503
2018-06-19 10:10:00,33.05,33.05,33.05,33.05,67865
2018-06-19 10:15:00,33.05,33.05,33.05,33.05,619
2018-06-19 10:20:00,33.05,33.05,33.05,33.05,13989
2018-06-19 10:25:00,33.05,33.05,33.05,33.05,1248
2018-06-19 10:30:00,33.05,33.05,33.05,33.05,349
2018-06-19 10:35:00,33.05,33.05,33.05,33.05,2930
2018-06-19 10:40:00,33.05,33.05,33.05,33.05,120
2018-06-19 10:45:00,33.05,33.05,33.05,33.05,204
2018-06-19 10:50:00,33.05,33.05,33.05,33.05,202
2018-06-19 10:55:00,33.05,33.05,33.05,33.05,10
2018-06-19 11:00:00,33.05,33.05,33.05,33.05,405
2018-06-19 11:05:00,33.05,33.05,33.05,33.05,339
2018-06-19 11:10:00,33.05,33.05,33.05,33.05,15455
2018-06-19 11:15:00,33.05,33.05,33.05,33.05,103
2018-06-19 11:20:00,33.05,33.05,33.05,33.05,66
2018-06-19 11:25:00,33.05,33.05,33.05,33.05,258
