date,open,high,low,close,volume
2015-02-02 09:15:00,857.88,857.88,845.35,846.9,23324
2015-02-02 09:20:00,845.18,848.88,844.03,848.53,10390
2015-02-02 09:25:00,848.88,862.38,846.35,856.55,28560
2015-02-02 09:30:00,856.6,859.05,851.4,851.4,27202
2015-02-02 09:35:00,853.5,858.8,852.0,852.15,7974
2015-02-02 09:40:00,852.15,863.0,852.0,860.25,9392
2015-02-02 09:45:00,860.25,861.43,850.68,856.3,10794
2015-02-02 09:50:00,856.3,861.5,856.0,859.05,5832
2015-02-02 09:55:00,859.05,864.45,858.23,863.5,5328
2015-02-02 10:00:00,863.5,863.5,851.73,851.73,5224
2015-02-02 10:05:00,851.73,852.43,845.5,846.85,8680
2015-02-02 10:10:00,846.85,849.25,845.5,846.75,7832
2015-02-02 10:15:00,848.4,848.4,845.35,845.35,6238
2015-02-02 10:20:00,845.38,846.05,830.0,832.48,38730
2015-02-02 10:25:00,831.08,838.95,831.08,837.8,16910
2015-02-02 10:30:00,837.8,840.15,837.8,839.68,6022
2015-02-02 10:35:00,839.68,840.0,837.98,839.78,3770
2015-02-02 10:40:00,839.55,839.8,835.0,839.75,6520
2015-02-02 10:45:00,839.98,840.48,836.5,839.38,8676
2015-02-02 10:50:00,839.98,841.5,838.5,840.4,9782
2015-02-02 10:55:00,841.23,841.95,840.55,841.5,2942
2015-02-02 11:00:00,841.95,845.5,841.53,844.53,7168
2015-02-02 11:05:00,845.0,846.5,843.85,846.45,4652
2015-02-02 11:10:00,846.33,853.1,845.0,850.68,7690
2015-02-02 11:15:00,850.65,851.9,850.2,850.6,3866
2015-02-02 11:20:00,851.28,851.28,848.0,848.0,4954
2015-02-02 11:25:00,848.0,851.55,848.0,850.35,604600
2015-02-02 11:30:00,850.0,851.5,849.48,849.48,2876
2015-02-02 11:35:00,849.48,850.5,848.58,849.83,1874
2015-02-02 11:40:00,850.0,850.0,848.0,848.0,3126
2015-02-02 11:45:00,848.0,849.53,847.8,848.33,2928
2015-02-02 11:50:00,849.0,850.08,848.3,848.55,2600
2015-02-02 11:55:00,849.73,850.5,848.55,850.15,2900
2015-02-02 12:00:00,850.15,850.15,847.13,847.48,1498
2015-02-02 12:05:00,848.0,848.0,846.43,846.5,1418
2015-02-02 12:10:00,847.05,847.05,845.0,845.0,2194
2015-02-02 12:15:00,845.65,846.4,845.0,846.35,764
2015-02-02 12:20:00,846.43,847.28,845.65,846.28,626
2015-02-02 12:25:00,846.35,847.15,846.0,846.5,576
2015-02-02 12:30:00,846.5,848.0,846.5,847.5,2714
2015-02-02 12:35:00,848.18,848.48,847.5,847.93,1576
2015-02-02 12:40:00,847.5,847.88,846.25,846.25,2312
2015-02-02 12:45:00,846.25,846.8,843.5,843.5,2798
2015-02-02 12:50:00,843.5,843.95,842.5,842.5,920
2015-02-02 12:55:00,842.3,842.35,839.58,840.93,10826
2015-02-02 13:00:00,840.1,840.5,839.53,839.73,4994
2015-02-02 13:05:00,839.73,841.8,839.53,839.7,1292
2015-02-02 13:10:00,839.7,840.65,838.95,839.0,1558
2015-02-02 13:15:00,839.48,840.0,838.95,839.83,3342
2015-02-02 13:20:00,840.4,840.93,839.0,840.93,2520
2015-02-02 13:25:00,840.0,841.5,837.5,838.58,3340
2015-02-02 13:30:00,838.35,839.2,837.5,837.63,1300
2015-02-02 13:35:00,837.63,839.25,837.63,838.35,2764
2015-02-02 13:40:00,839.58,840.95,837.95,840.03,3962
2015-02-02 13:45:00,840.73,841.0,839.6,840.5,1168
2015-02-02 13:50:00,840.15,841.48,839.33,840.0,4842
2015-02-02 13:55:00,840.0,840.75,839.25,839.25,1434
2015-02-02 14:00:00,839.25,839.55,836.0,836.48,5144
2015-02-02 14:05:00,836.08,838.0,836.05,838.0,1668
2015-02-02 14:10:00,836.93,839.73,836.5,837.63,4834
