date,open,high,low,close,volume
2015-02-02 09:15:00,71.59,72.65,71.59,72.65,196518
2015-02-02 09:20:00,72.65,72.8,72.17,72.22,102748
2015-02-02 09:25:00,72.17,72.41,72.03,72.36,47020
2015-02-02 09:30:00,72.36,72.36,71.88,71.93,40173
2015-02-02 09:35:00,71.93,72.22,71.93,72.12,31853
2015-02-02 09:40:00,72.12,72.22,72.07,72.12,21261
2015-02-02 09:45:00,72.12,72.22,72.03,72.12,14570
2015-02-02 09:50:00,72.03,72.07,71.93,72.03,24520
2015-02-02 09:55:00,72.03,72.12,71.98,72.12,16065
2015-02-02 10:00:00,72.12,72.17,72.07,72.17,7378
2015-02-02 10:05:00,72.17,72.17,72.07,72.17,10829
2015-02-02 10:10:00,72.17,72.32,72.12,72.27,22613
2015-02-02 10:15:00,72.27,72.36,72.17,72.32,13046
2015-02-02 10:20:00,72.32,72.32,72.12,72.17,4759
2015-02-02 10:25:00,72.17,72.17,71.74,71.98,39909
2015-02-02 10:30:00,71.98,72.03,71.83,71.83,5408
2015-02-02 10:35:00,71.83,72.17,71.74,71.88,39032
2015-02-02 10:40:00,71.88,72.03,71.88,71.93,9068
2015-02-02 10:45:00,71.93,72.03,71.88,72.03,13229
2015-02-02 10:50:00,72.03,72.03,71.83,71.83,6209
2015-02-02 10:55:00,71.83,71.88,71.74,71.83,11018
2015-02-02 11:00:00,71.83,71.93,71.83,71.88,7746
2015-02-02 11:05:00,71.88,71.93,71.83,71.93,7503
2015-02-02 11:10:00,71.93,72.07,71.93,72.07,23970
2015-02-02 11:15:00,72.07,72.36,72.03,72.32,37320
2015-02-02 11:20:00,72.32,72.32,72.27,72.32,33680
2015-02-02 11:25:00,72.27,72.41,72.27,72.32,25049
2015-02-02 11:30:00,72.32,72.32,72.32,72.32,21403
2015-02-02 11:35:00,72.32,72.32,72.12,72.22,16318
2015-02-02 11:40:00,72.22,72.32,72.22,72.22,12976
2015-02-02 11:45:00,72.22,72.32,72.22,72.32,21479
2015-02-02 11:50:00,72.32,72.32,72.27,72.32,7568
2015-02-02 11:55:00,72.27,72.32,72.12,72.32,31278
2015-02-02 12:00:00,72.32,72.51,72.32,72.51,50048
2015-02-02 12:05:00,72.51,72.7,72.51,72.7,51290
2015-02-02 12:10:00,72.7,73.18,72.7,73.18,126234
2015-02-02 12:15:00,73.13,73.18,72.85,72.85,77941
2015-02-02 12:20:00,72.85,72.85,72.7,72.75,53730
2015-02-02 12:25:00,72.75,72.8,72.6,72.8,66265
2015-02-02 12:30:00,72.8,73.09,72.8,72.94,69751
2015-02-02 12:35:00,72.94,72.99,72.8,72.89,60814
2015-02-02 12:40:00,72.89,72.94,72.89,72.89,42816
2015-02-02 12:45:00,72.89,72.94,72.8,72.8,13414
2015-02-02 12:50:00,72.8,72.89,72.7,72.7,19136
2015-02-02 12:55:00,72.7,72.94,72.7,72.85,29531
2015-02-02 13:00:00,72.85,72.89,72.7,72.8,12865
2015-02-02 13:05:00,72.8,72.85,72.75,72.75,16296
2015-02-02 13:10:00,72.75,72.89,72.75,72.89,6443
2015-02-02 13:15:00,72.89,72.94,72.8,72.8,16239
2015-02-02 13:20:00,72.8,72.89,72.75,72.85,14373
2015-02-02 13:25:00,72.85,72.89,72.8,72.89,21545
2015-02-02 13:30:00,72.89,73.04,72.89,72.94,25174
2015-02-02 13:35:00,72.94,72.99,72.8,72.89,54335
2015-02-02 13:40:00,72.85,72.89,72.7,72.7,55650
2015-02-02 13:45:00,72.7,72.8,72.56,72.7,137186
2015-02-02 13:50:00,72.7,72.85,72.65,72.8,54632
2015-02-02 13:55:00,72.8,72.8,72.75,72.8,41921
2015-02-02 14:00:00,72.8,72.8,72.7,72.7,49738
2015-02-02 14:05:00,72.7,72.8,72.7,72.75,101061
2015-02-02 14:10:00,72.75,72.8,72.7,72.8,127363
2015-02-02 14:15:00,72.8,72.8,72.7,72.8,165056
