date,open,high,low,close,volume
2015-02-02 09:15:00,535.17,535.37,531.54,533.28,643200
2015-02-02 09:20:00,533.64,534.18,533.54,533.83,79300
2015-02-02 09:25:00,533.83,534.79,532.64,533.48,74040
2015-02-02 09:30:00,533.48,533.99,532.67,533.99,53640
2015-02-02 09:35:00,533.99,535.45,533.42,534.0,871200
2015-02-02 09:40:00,534.23,536.68,534.02,536.62,83416
2015-02-02 09:45:00,536.68,537.5,536.68,537.24,157372
2015-02-02 09:50:00,537.2,537.5,535.34,537.02,84984
2015-02-02 09:55:00,537.02,537.25,535.64,536.09,99108
2015-02-02 10:00:00,536.0,536.53,536.0,536.29,39732
2015-02-02 10:05:00,536.32,536.44,533.75,534.65,55828
2015-02-02 10:10:00,534.65,535.0,533.1,533.98,81748
2015-02-02 10:15:00,533.87,535.0,533.82,534.83,56396
2015-02-02 10:20:00,534.77,534.95,533.98,534.28,844340
2015-02-02 10:25:00,534.28,534.85,534.03,534.84,40940
2015-02-02 10:30:00,534.79,535.42,533.83,535.42,46472
2015-02-02 10:35:00,535.33,537.18,534.89,536.78,52724
2015-02-02 10:40:00,536.85,537.0,536.42,536.74,47164
2015-02-02 10:45:00,536.74,537.0,534.75,534.75,56948
2015-02-02 10:50:00,535.0,536.7,534.75,536.13,43520
2015-02-02 10:55:00,536.13,536.55,535.72,536.13,38348
2015-02-02 11:00:00,536.13,537.14,536.13,536.64,31052
2015-02-02 11:05:00,536.94,537.2,536.52,536.52,38320
2015-02-02 11:10:00,536.48,537.12,536.48,536.59,24236
2015-02-02 11:15:00,536.59,537.24,536.59,537.02,26880
2015-02-02 11:20:00,537.02,537.2,536.57,537.0,34224
2015-02-02 11:25:00,537.18,537.25,536.88,537.25,38516
2015-02-02 11:30:00,537.25,537.38,536.79,537.38,42156
2015-02-02 11:35:00,537.32,537.38,536.94,536.97,46228
2015-02-02 11:40:00,536.97,537.38,536.89,537.35,32824
2015-02-02 11:45:00,537.13,537.47,536.88,537.25,444968
2015-02-02 11:50:00,537.25,537.35,537.2,537.25,64176
2015-02-02 11:55:00,537.24,537.49,536.25,537.13,83024
2015-02-02 12:00:00,537.13,537.49,537.13,537.37,147728
2015-02-02 12:05:00,537.37,537.5,536.4,537.15,68608
2015-02-02 12:10:00,537.15,537.25,536.25,537.02,54244
2015-02-02 12:15:00,537.25,537.38,536.33,537.38,38220
2015-02-02 12:20:00,537.3,537.5,537.05,537.25,45484
2015-02-02 12:25:00,537.19,537.38,537.13,537.15,40208
2015-02-02 12:30:00,537.15,537.63,537.15,537.38,251424
2015-02-02 12:35:00,537.3,537.5,537.15,537.25,39832
2015-02-02 12:40:00,537.25,537.63,537.25,537.5,51452
2015-02-02 12:45:00,537.5,537.5,537.22,537.42,51860
2015-02-02 12:50:00,537.42,537.75,537.4,537.75,80792
2015-02-02 12:55:00,537.7,537.75,536.58,537.35,61456
2015-02-02 13:00:00,537.09,537.5,536.98,537.35,31536
2015-02-02 13:05:00,537.5,537.5,537.27,537.43,39344
2015-02-02 13:10:00,537.5,537.5,536.75,537.02,58496
2015-02-02 13:15:00,537.19,537.22,536.79,537.0,27544
2015-02-02 13:20:00,537.22,537.24,536.77,537.15,36616
2015-02-02 13:25:00,537.15,537.25,536.78,537.19,47708
2015-02-02 13:30:00,537.19,537.32,536.92,537.17,64620
2015-02-02 13:35:00,537.25,538.0,536.75,537.75,352864
2015-02-02 13:40:00,537.75,538.0,536.9,537.63,115556
2015-02-02 13:45:00,537.47,538.0,537.38,537.63,59892
2015-02-02 13:50:00,537.63,537.74,534.95,536.57,116952
2015-02-02 13:55:00,536.57,536.75,536.14,536.39,29992
2015-02-02 14:00:00,536.39,537.25,536.27,537.25,37928
2015-02-02 14:05:00,537.07,537.5,536.58,537.44,36276
2015-02-02 14:10:00,537.25,537.44,536.05,537.23,35880
2015-02-02 14:15:00,537.25,537.5,536.05,536.25,813388
2015-02-02 14:20:00,536.17,537.25,536.17,536.64,42440
2015-02-02 14:25:00,536.78,537.07,535.62,535.9,34520
2015-02-02 14:30:00,535.9,536.4,535.65,536.25,23468
2015-02-02 14:35:00,536.25,536.25,534.5,534.92,44952
2015-02-02 14:40:00,535.0,535.0,534.5,535.0,55408
2015-02-02 14:45:00,535.0,535.1,534.45,535.0,34648
2015-02-02 14:50:00,535.0,535.2,534.63,534.88,43056
2015-02-02 14:55:00,534.88,534.9,532.0,532.13,108076
2015-02-02 15:00:00,532.13,534.88,532.13,534.88,211244
2015-02-02 15:05:00,534.88,535.15,533.47,533.53,181704
2015-02-02 15:10:00,533.57,534.68,533.55,534.45,144388
2015-02-02 15:15:00,534.47,534.74,533.7,534.33,149000
2015-02-02 15:20:00,534.45,535.37,534.19,534.25,189928
2015-02-02 15:25:00,534.28,534.64,533.25,534.25,141604
2015-02-03 09:15:00,534.2,534.93,531.57,533.14,133948
2015-02-03 09:20:00,533.03,533.42,531.98,532.75,108044
2015-02-03 09:25:00,532.75,532.75,531.58,531.58,35720
2015-02-03 09:30:00,531.63,531.9,531.07,531.78,72348
2015-02-03 09:35:00,531.7,531.7,530.25,531.13,76452
2015-02-03 09:40:00,531.14,531.37,530.25,530.9,53580
2015-02-03 09:45:00,530.9,531.17,530.0,531.1,46408
2015-02-03 09:50:00,531.1,531.22,529.75,529.84,37648
2015-02-03 09:55:00,529.75,530.13,528.14,528.47,65292
2015-02-03 10:00:00,528.13,528.55,527.75,527.75,57132
2015-02-03 10:05:00,527.77,528.12,527.5,527.88,79324
2015-02-03 10:10:00,527.88,527.88,527.25,527.45,32220
2015-02-03 10:15:00,527.45,527.5,527.25,527.3,39712
2015-02-03 10:20:00,527.25,527.92,527.25,527.52,32120
2015-02-03 10:25:00,527.52,527.52,526.25,526.63,126484
2015-02-03 10:30:00,526.62,526.62,525.75,525.87,48148
2015-02-03 10:35:00,526.0,526.04,525.5,525.83,37632
2015-02-03 10:40:00,525.83,526.05,525.75,525.95,43352
2015-02-03 10:45:00,525.95,526.19,525.69,526.03,69312
2015-02-03 10:50:00,526.03,526.39,525.78,526.33,54264
2015-02-03 10:55:00,526.29,526.29,525.75,525.88,43004
2015-02-03 11:00:00,526.02,527.99,525.77,526.39,81772
2015-02-03 11:05:00,526.25,526.64,525.75,526.35,33664
2015-02-03 11:10:00,526.35,529.12,526.0,528.19,68940
2015-02-03 11:15:00,528.19,528.24,527.25,527.8,63984
2015-02-03 11:20:00,527.8,528.3,527.25,528.15,34800
2015-02-03 11:25:00,528.5,529.75,527.82,529.23,53384
2015-02-03 11:30:00,529.18,529.6,528.43,528.74,31388
2015-02-03 11:35:00,528.74,529.13,528.0,528.95,622976
2015-02-03 11:40:00,528.95,529.73,528.75,529.4,45996
2015-02-03 11:45:00,529.4,529.5,527.75,527.82,72724
2015-02-03 11:50:00,528.12,529.5,527.25,528.1,80856
2015-02-03 11:55:00,528.07,528.07,525.6,526.17,108096
2015-02-03 12:00:00,526.04,529.5,526.02,529.45,78132
2015-02-03 12:05:00,529.45,529.5,528.43,528.63,44128
2015-02-03 12:10:00,528.63,528.99,527.54,528.79,33012
2015-02-03 12:15:00,528.77,528.93,528.07,528.63,24064
2015-02-03 12:20:00,528.63,529.45,528.59,529.45,44672
2015-02-03 12:25:00,529.4,529.77,528.75,529.72,58376
2015-02-03 12:30:00,529.72,530.5,529.57,530.32,53420
2015-02-03 12:35:00,530.3,532.13,530.28,531.83,73216
2015-02-03 12:40:00,531.93,531.95,530.59,531.57,56740
2015-02-03 12:45:00,531.57,532.73,531.47,531.93,71268
2015-02-03 12:50:00,531.63,531.63,528.79,528.79,64428
2015-02-03 12:55:00,528.82,529.73,528.37,528.37,39676
2015-02-03 13:00:00,528.37,529.44,527.87,529.03,46664
2015-02-03 13:05:00,529.03,529.23,527.88,528.2,38772
2015-02-03 13:10:00,528.2,529.53,528.18,529.53,42076
2015-02-03 13:15:00,529.5,530.9,529.43,530.4,62452
2015-02-03 13:20:00,530.75,531.75,530.1,530.9,53744
2015-02-03 13:25:00,530.9,531.24,530.29,530.67,45048
2015-02-03 13:30:00,530.67,532.0,530.64,532.0,48020
2015-02-03 13:35:00,532.0,532.18,530.77,530.77,46960
2015-02-03 13:40:00,530.77,532.12,530.34,531.8,49736
2015-02-03 13:45:00,531.87,532.0,531.58,531.7,45624
2015-02-03 13:50:00,531.7,534.65,531.68,534.65,108884
2015-02-03 13:55:00,534.6,534.75,532.38,532.67,68540
2015-02-03 14:00:00,532.8,532.8,531.02,531.27,73352
2015-02-03 14:05:00,531.25,532.68,530.75,531.35,75288
2015-02-03 14:10:00,531.25,531.98,529.3,529.5,51216
2015-02-03 14:15:00,529.5,530.0,528.73,529.5,67176
2015-02-03 14:20:00,529.5,529.87,529.0,529.45,49932
2015-02-03 14:25:00,529.3,529.75,528.77,529.12,47796
2015-02-03 14:30:00,529.12,529.25,528.25,528.75,50612
2015-02-03 14:35:00,528.75,529.34,526.88,529.03,59188
2015-02-03 14:40:00,529.04,529.3,528.0,528.75,36112
2015-02-03 14:45:00,528.75,529.63,527.83,529.44,41140
2015-02-03 14:50:00,529.53,530.7,528.5,529.0,64872
2015-02-03 14:55:00,529.0,530.69,529.0,530.09,39212
2015-02-03 15:00:00,530.08,531.24,530.0,530.38,110316
2015-02-03 15:05:00,530.38,530.99,529.75,530.99,101932
2015-02-03 15:10:00,531.05,531.05,529.75,530.88,118320
2015-02-03 15:15:00,530.88,531.5,529.8,530.0,132824
2015-02-03 15:20:00,529.95,530.19,529.72,529.72,114272
2015-02-03 15:25:00,529.72,531.5,529.5,531.0,140584
2015-02-04 09:15:00,533.74,535.48,531.6,533.33,425704
2015-02-04 09:20:00,533.27,535.55,532.85,534.38,163916
2015-02-04 09:25:00,534.38,535.0,533.14,534.83,97796
2015-02-04 09:30:00,534.95,535.19,533.9,534.69,78856
2015-02-04 09:35:00,534.78,536.25,534.75,535.95,102372
2015-02-04 09:40:00,535.84,536.22,535.75,536.0,83328
2015-02-04 09:45:00,536.0,537.0,535.63,536.4,112260
2015-02-04 09:50:00,536.39,536.88,535.8,535.97,100520
2015-02-04 09:55:00,535.97,536.98,535.97,536.77,51952
2015-02-04 10:00:00,536.78,537.32,536.1,536.63,71808
2015-02-04 10:05:00,536.5,536.98,535.25,536.24,52648
2015-02-04 10:10:00,536.24,536.99,533.48,535.25,84740
2015-02-04 10:15:00,535.39,536.48,534.57,535.7,145364
2015-02-04 10:20:00,535.7,536.24,534.58,534.6,56440
2015-02-04 10:25:00,534.6,535.39,534.6,535.12,30248
2015-02-04 10:30:00,535.12,535.38,534.5,534.94,26584
2015-02-04 10:35:00,534.95,535.3,534.77,534.79,14464
2015-02-04 10:40:00,534.79,534.83,532.5,532.7,80320
2015-02-04 10:45:00,532.7,534.23,532.63,533.28,35832
2015-02-04 10:50:00,533.28,533.89,532.75,533.69,24844
2015-02-04 10:55:00,533.75,533.97,532.88,532.88,27164
2015-02-04 11:00:00,532.88,534.0,532.88,533.85,24876
2015-02-04 11:05:00,534.13,535.43,533.84,534.98,30236
