date,open,high,low,close,volume
2015-02-02 09:15:00,158.45,159.1,157.5,158.25,122544
2015-02-02 09:20:00,158.5,159.45,158.35,159.1,88337
2015-02-02 09:25:00,159.1,160.25,159.1,159.75,164564
2015-02-02 09:30:00,159.8,160.0,158.05,158.6,73702
2015-02-02 09:35:00,158.6,159.55,158.3,158.55,68394
2015-02-02 09:40:00,158.55,159.6,158.3,159.25,96705
2015-02-02 09:45:00,159.25,159.45,158.55,159.15,26433
2015-02-02 09:50:00,159.3,159.6,158.8,159.25,49481
2015-02-02 09:55:00,159.25,159.45,158.9,159.0,57663
2015-02-02 10:00:00,159.0,159.5,158.55,159.15,64775
2015-02-02 10:05:00,159.05,159.05,158.45,158.65,35315
2015-02-02 10:10:00,158.6,158.8,158.2,158.35,27151
2015-02-02 10:15:00,158.35,158.7,158.3,158.55,29583
2015-02-02 10:20:00,158.45,158.45,157.7,158.0,71809
2015-02-02 10:25:00,158.0,158.0,157.6,157.9,55695
2015-02-02 10:30:00,157.9,157.95,156.25,157.25,70604
2015-02-02 10:35:00,157.25,157.75,157.2,157.75,17533
2015-02-02 10:40:00,157.75,157.85,157.6,157.8,9467
2015-02-02 10:45:00,157.8,157.8,157.25,157.8,15662
2015-02-02 10:50:00,157.8,157.8,157.25,157.35,9782
2015-02-02 10:55:00,157.35,157.7,157.25,157.55,6997
2015-02-02 11:00:00,157.4,157.8,157.4,157.55,22391
2015-02-02 11:05:00,157.55,157.85,157.5,157.55,11143
2015-02-02 11:10:00,157.55,157.7,157.5,157.6,3617
2015-02-02 11:15:00,157.55,157.75,157.5,157.5,5138
2015-02-02 11:20:00,157.5,157.95,157.2,157.8,17350
2015-02-02 11:25:00,157.8,157.95,157.65,157.85,17939
2015-02-02 11:30:00,157.85,157.85,157.55,157.7,7281
2015-02-02 11:35:00,157.8,157.85,157.6,157.6,4563
2015-02-02 11:40:00,157.6,157.95,157.5,157.8,13205
2015-02-02 11:45:00,157.8,157.85,157.65,157.7,3805
2015-02-02 11:50:00,157.7,157.95,157.65,157.8,14399
2015-02-02 11:55:00,157.8,158.0,157.65,157.85,30826
2015-02-02 12:00:00,157.85,157.9,157.55,157.6,13157
2015-02-02 12:05:00,157.7,157.7,157.2,157.35,11973
2015-02-02 12:10:00,157.45,158.0,157.45,158.0,19564
2015-02-02 12:15:00,157.95,158.0,157.8,157.95,38746
2015-02-02 12:20:00,157.9,158.35,157.75,157.75,25177
2015-02-02 12:25:00,157.75,157.95,157.65,157.85,8462
2015-02-02 12:30:00,157.85,158.5,157.55,157.95,78934
2015-02-02 12:35:00,157.95,158.35,157.6,157.95,29254
2015-02-02 12:40:00,157.95,158.2,157.85,158.05,6907
2015-02-02 12:45:00,158.05,158.05,157.75,157.95,8290
2015-02-02 12:50:00,157.95,158.0,157.6,157.6,5266
2015-02-02 12:55:00,157.6,158.0,157.6,158.0,7369
2015-02-02 13:00:00,158.0,158.1,157.4,157.4,20727
2015-02-02 13:05:00,157.4,157.6,157.3,157.35,16743
2015-02-02 13:10:00,157.35,157.45,157.2,157.3,10590
2015-02-02 13:15:00,157.3,157.7,157.2,157.5,11407
2015-02-02 13:20:00,157.5,157.55,157.25,157.5,17653
2015-02-02 13:25:00,157.6,157.8,157.25,157.5,28223
2015-02-02 13:30:00,157.5,157.65,157.4,157.4,17363
2015-02-02 13:35:00,157.55,157.8,157.4,157.45,18823
2015-02-02 13:40:00,157.45,157.7,156.4,156.9,53426
2015-02-02 13:45:00,156.95,157.3,156.2,156.45,52787
2015-02-02 13:50:00,156.45,156.7,155.6,156.05,130203
2015-02-02 13:55:00,156.05,156.45,155.9,156.3,18260
2015-02-02 14:00:00,156.3,156.7,155.9,156.1,72086
2015-02-02 14:05:00,156.1,156.7,155.95,156.2,30880
2015-02-02 14:10:00,156.1,156.4,155.8,156.4,48932
2015-02-02 14:15:00,156.4,156.55,156.15,156.2,17025
2015-02-02 14:20:00,156.2,156.9,156.2,156.45,33758
2015-02-02 14:25:00,156.45,156.8,156.25,156.3,13013
2015-02-02 14:30:00,156.45,156.45,155.9,155.9,25546
2015-02-02 14:35:00,155.9,155.95,154.85,155.85,99316
2015-02-02 14:40:00,155.9,156.25,155.7,155.8,19999
2015-02-02 14:45:00,155.75,156.1,155.55,155.8,19563
2015-02-02 14:50:00,155.8,156.25,155.8,155.85,12717
2015-02-02 14:55:00,156.0,156.35,155.85,156.2,33810
2015-02-02 15:00:00,156.2,156.4,155.9,155.95,31129
2015-02-02 15:05:00,155.85,156.2,154.65,155.05,79518
2015-02-02 15:10:00,155.2,155.3,154.9,155.25,44947
2015-02-02 15:15:00,155.2,155.3,154.6,155.0,126230
2015-02-02 15:20:00,155.0,155.0,154.0,154.0,138357
2015-02-02 15:25:00,153.9,154.25,153.55,154.15,78584
2015-02-03 09:15:00,155.4,155.75,154.8,155.05,114705
2015-02-03 09:20:00,155.05,155.7,154.8,154.9,68661
2015-02-03 09:25:00,154.9,155.1,154.55,155.1,41041
2015-02-03 09:30:00,155.1,155.3,154.85,155.1,28687
2015-02-03 09:35:00,155.1,155.3,154.8,154.8,38083
2015-02-03 09:40:00,154.8,154.9,154.05,154.15,43065
2015-02-03 09:45:00,154.2,154.7,154.1,154.2,34228
2015-02-03 09:50:00,154.2,154.2,153.3,153.45,66657
2015-02-03 09:55:00,153.4,153.6,153.3,153.4,37093
2015-02-03 10:00:00,153.3,154.2,152.65,153.8,114054
2015-02-03 10:05:00,153.8,153.85,153.15,153.4,23889
2015-02-03 10:10:00,153.4,153.45,153.25,153.3,6877
2015-02-03 10:15:00,153.3,153.55,152.5,153.1,65798
2015-02-03 10:20:00,153.1,153.4,152.8,153.2,35089
2015-02-03 10:25:00,153.25,153.55,153.2,153.35,15697
2015-02-03 10:30:00,153.5,153.9,153.35,153.85,23070
2015-02-03 10:35:00,153.85,154.25,153.65,153.65,34873
2015-02-03 10:40:00,153.75,154.15,153.45,153.9,30705
2015-02-03 10:45:00,153.9,154.45,153.65,154.2,36564
2015-02-03 10:50:00,154.2,154.35,153.8,153.85,43810
2015-02-03 10:55:00,154.0,154.0,153.6,153.95,15651
2015-02-03 11:00:00,153.95,154.3,153.35,154.0,30672
2015-02-03 11:05:00,154.0,154.2,153.4,154.15,20701
2015-02-03 11:10:00,154.15,154.6,153.9,154.55,42727
2015-02-03 11:15:00,154.45,154.5,153.8,154.2,19927
2015-02-03 11:20:00,154.2,154.5,153.8,154.35,16032
2015-02-03 11:25:00,154.3,154.4,153.8,153.85,16251
2015-02-03 11:30:00,153.85,154.25,153.75,153.95,26045
2015-02-03 11:35:00,153.85,154.2,153.85,154.05,17620
2015-02-03 11:40:00,154.05,154.1,153.5,153.65,23222
2015-02-03 11:45:00,153.5,153.9,153.15,153.3,31084
2015-02-03 11:50:00,153.3,153.55,152.9,153.1,40162
2015-02-03 11:55:00,153.0,153.1,152.2,152.7,91107
2015-02-03 12:00:00,152.6,153.5,152.55,153.3,40689
2015-02-03 12:05:00,153.2,154.0,152.85,153.4,45490
2015-02-03 12:10:00,153.4,154.0,152.9,153.4,50956
2015-02-03 12:15:00,153.4,153.65,153.0,153.2,27704
2015-02-03 12:20:00,153.3,153.6,152.95,153.45,26978
2015-02-03 12:25:00,153.45,153.7,153.05,153.3,36322
2015-02-03 12:30:00,153.3,153.8,153.1,153.8,22237
2015-02-03 12:35:00,153.8,153.9,153.65,153.75,25812
2015-02-03 12:40:00,153.55,153.85,153.2,153.5,47028
2015-02-03 12:45:00,153.5,153.6,153.25,153.25,12817
2015-02-03 12:50:00,153.25,153.6,153.1,153.45,13138
2015-02-03 12:55:00,153.3,153.6,152.9,153.0,43508
2015-02-03 13:00:00,152.95,153.6,152.95,153.35,27981
2015-02-03 13:05:00,153.35,153.45,152.95,153.05,19813
2015-02-03 13:10:00,153.05,153.15,152.75,153.05,16151
2015-02-03 13:15:00,153.05,153.2,152.95,152.95,14097
2015-02-03 13:20:00,152.95,153.2,152.85,153.0,14809
2015-02-03 13:25:00,153.0,153.05,152.6,152.85,14480
2015-02-03 13:30:00,152.7,152.95,152.55,152.8,17559
2015-02-03 13:35:00,152.8,153.0,152.7,152.75,23811
2015-02-03 13:40:00,152.75,153.5,152.55,152.9,62165
2015-02-03 13:45:00,152.8,153.3,152.8,153.15,22071
2015-02-03 13:50:00,153.05,153.5,153.05,153.3,31982
2015-02-03 13:55:00,153.3,153.35,152.9,153.1,19532
2015-02-03 14:00:00,153.1,153.3,152.85,153.2,18578
2015-02-03 14:05:00,153.2,153.45,153.1,153.15,33270
2015-02-03 14:10:00,153.15,153.35,153.1,153.15,12723
2015-02-03 14:15:00,153.15,153.5,152.8,153.0,36163
2015-02-03 14:20:00,153.0,153.25,152.85,153.1,11613
2015-02-03 14:25:00,153.2,153.3,153.0,153.3,13189
2015-02-03 14:30:00,153.3,153.9,153.0,153.15,105921
2015-02-03 14:35:00,153.15,153.5,152.8,153.5,28128
2015-02-03 14:40:00,153.4,153.55,153.0,153.25,22910
2015-02-03 14:45:00,153.25,153.55,153.0,153.4,21422
2015-02-03 14:50:00,153.4,153.5,153.2,153.45,44010
2015-02-03 14:55:00,153.45,153.7,153.05,153.25,50918
2015-02-03 15:00:00,153.3,153.5,153.05,153.25,38151
2015-02-03 15:05:00,153.4,153.4,152.9,152.95,44312
2015-02-03 15:10:00,152.95,153.0,152.75,153.0,56207
2015-02-03 15:15:00,152.85,153.0,152.25,152.55,138284
2015-02-03 15:20:00,152.4,152.55,150.8,150.95,208319
2015-02-03 15:25:00,151.0,151.9,150.95,151.75,76621
2015-02-04 09:15:00,150.75,155.45,149.9,154.6,796565
2015-02-04 09:20:00,154.6,154.75,153.65,154.0,242015
2015-02-04 09:25:00,154.15,154.2,153.3,154.2,143093
2015-02-04 09:30:00,154.3,155.6,154.15,155.15,274343
2015-02-04 09:35:00,155.15,155.15,154.55,154.75,71949
2015-02-04 09:40:00,154.75,154.8,153.9,154.0,111651
2015-02-04 09:45:00,153.95,154.5,153.9,154.3,80024
2015-02-04 09:50:00,154.3,154.4,153.75,154.0,54162
2015-02-04 09:55:00,154.05,154.3,154.0,154.25,19397
2015-02-04 10:00:00,154.25,154.8,154.15,154.65,47201
2015-02-04 10:05:00,154.65,155.15,154.5,154.7,63358
2015-02-04 10:10:00,154.7,154.95,154.25,154.9,41400
2015-02-04 10:15:00,154.8,156.75,154.65,156.45,320962
2015-02-04 10:20:00,156.4,157.8,156.4,157.05,482157
2015-02-04 10:25:00,157.05,159.1,157.05,158.5,640617
2015-02-04 10:30:00,158.45,158.6,157.6,157.85,202804
2015-02-04 10:35:00,157.9,158.85,157.9,158.25,190402
2015-02-04 10:40:00,158.2,158.35,156.7,156.75,164836
2015-02-04 10:45:00,156.75,157.3,156.3,157.25,197358
2015-02-04 10:50:00,157.25,158.1,157.25,157.75,156921
2015-02-04 10:55:00,157.75,157.95,156.75,156.75,186868
2015-02-04 11:00:00,156.75,157.2,156.6,156.95,133166
2015-02-04 11:05:00,156.95,157.0,156.35,156.5,110839
2015-02-04 11:10:00,156.5,156.8,155.85,156.0,116646
2015-02-04 11:15:00,155.95,156.15,155.4,155.45,113275
2015-02-04 11:20:00,155.45,156.05,155.45,156.0,65634
2015-02-04 11:25:00,156.0,156.15,155.45,155.5,75629
2015-02-04 11:30:00,155.5,155.55,154.75,155.0,131568
2015-02-04 11:35:00,155.0,155.05,154.8,154.9,53157
2015-02-04 11:40:00,154.95,155.1,154.85,154.9,68705
2015-02-04 11:45:00,154.95,154.95,154.75,154.85,36670
2015-02-04 11:50:00,154.85,155.25,154.85,155.25,43461
2015-02-04 11:55:00,155.25,155.3,154.9,155.2,59999
2015-02-04 12:00:00,155.15,155.4,155.05,155.05,34067
2015-02-04 12:05:00,155.05,155.15,154.9,155.05,20022
2015-02-04 12:10:00,155.05,155.4,155.05,155.1,28778
2015-02-04 12:15:00,155.1,155.35,155.1,155.2,57121
2015-02-04 12:20:00,155.1,155.5,154.95,155.35,198084
2015-02-04 12:25:00,155.15,155.45,154.8,154.85,61247
2015-02-04 12:30:00,154.85,154.9,151.8,153.6,409459
2015-02-04 12:35:00,153.45,153.9,153.2,153.7,38538
2015-02-04 12:40:00,153.75,154.3,153.65,154.3,59344
2015-02-04 12:45:00,154.3,155.0,154.1,154.85,187838
2015-02-04 12:50:00,154.85,155.35,154.8,154.8,180711
2015-02-04 12:55:00,154.8,155.0,154.5,154.5,99522
2015-02-04 13:00:00,154.5,155.0,154.5,154.7,105290
2015-02-04 13:05:00,154.7,154.9,154.5,154.75,30177
2015-02-04 13:10:00,154.7,155.05,154.5,154.7,102654
2015-02-04 13:15:00,154.75,154.95,154.65,154.75,35363
2015-02-04 13:20:00,154.75,154.8,154.3,154.4,24461
2015-02-04 13:25:00,154.4,154.55,154.15,154.2,21212
2015-02-04 13:30:00,154.2,154.25,153.85,154.1,38336
2015-02-04 13:35:00,154.15,154.25,153.9,154.0,36940
2015-02-04 13:40:00,154.0,154.4,153.75,154.2,36076
2015-02-04 13:45:00,154.15,154.4,153.75,153.9,41125
2015-02-04 13:50:00,153.9,154.3,153.85,154.0,19468
2015-02-04 13:55:00,154.0,154.0,153.8,153.95,22967
2015-02-04 14:00:00,153.95,154.25,153.85,154.05,39124
2015-02-04 14:05:00,154.05,154.2,153.85,154.1,29621
2015-02-04 14:10:00,154.05,154.05,153.75,153.9,19631
2015-02-04 14:15:00,153.9,154.0,153.75,153.85,21877
2015-02-04 14:20:00,153.85,154.0,153.8,154.0,22485
2015-02-04 14:25:00,153.9,154.0,153.75,153.85,23693
2015-02-04 14:30:00,153.85,154.05,153.85,154.0,32166
2015-02-04 14:35:00,154.0,154.2,153.9,154.15,56452
2015-02-04 14:40:00,154.15,154.9,154.0,154.1,137701
2015-02-04 14:45:00,154.1,154.25,153.9,154.0,64748
2015-02-04 14:50:00,154.0,154.35,153.95,154.05,123580
2015-02-04 14:55:00,154.05,154.2,153.65,153.9,65771
2015-02-04 15:00:00,153.9,154.2,153.65,153.8,122417
2015-02-04 15:05:00,153.8,154.0,153.65,153.95,109803
2015-02-04 15:10:00,153.95,154.0,153.15,153.3,147846
2015-02-04 15:15:00,153.35,153.95,153.2,153.9,255104
2015-02-04 15:20:00,153.9,153.95,153.65,153.8,205440
2015-02-04 15:25:00,153.8,154.1,153.65,153.9,419466
2015-02-05 09:15:00,153.8,154.35,153.2,153.35,112979
2015-02-05 09:20:00,153.2,153.45,152.9,153.25,169796
2015-02-05 09:25:00,153.3,153.35,152.9,153.1,85788
2015-02-05 09:30:00,153.1,153.35,152.8,152.8,81444
2015-02-05 09:35:00,152.8,153.15,152.55,153.1,51656
2015-02-05 09:40:00,153.0,153.25,152.8,153.0,39689
2015-02-05 09:45:00,153.0,153.1,152.6,152.85,38140
2015-02-05 09:50:00,152.8,152.8,152.4,152.4,29123
2015-02-05 09:55:00,152.4,152.75,152.25,152.6,43200
2015-02-05 10:00:00,152.7,152.8,152.6,152.7,14961
2015-02-05 10:05:00,152.7,152.9,152.55,152.7,27967
2015-02-05 10:10:00,152.7,152.85,152.5,152.55,13201
2015-02-05 10:15:00,152.55,152.7,152.4,152.6,38225
2015-02-05 10:20:00,152.6,152.7,152.4,152.5,26214
2015-02-05 10:25:00,152.5,152.5,151.8,152.0,82674
2015-02-05 10:30:00,152.0,152.25,151.9,152.0,28323
2015-02-05 10:35:00,152.0,152.2,152.0,152.0,16112
2015-02-05 10:40:00,152.0,152.05,151.6,151.8,23651
2015-02-05 10:45:00,151.8,151.8,151.1,151.3,53483
2015-02-05 10:50:00,151.3,151.45,151.0,151.4,57007
2015-02-05 10:55:00,151.4,152.0,151.35,151.4,47189
2015-02-05 11:00:00,151.4,151.7,151.4,151.5,22059
2015-02-05 11:05:00,151.5,151.6,151.0,151.05,42415
2015-02-05 11:10:00,151.05,151.5,151.0,151.5,40457
2015-02-05 11:15:00,151.5,151.5,151.0,151.0,50878
2015-02-05 11:20:00,151.0,151.2,150.85,151.1,40927
2015-02-05 11:25:00,151.1,151.15,150.5,150.9,35503
2015-02-05 11:30:00,150.9,151.0,150.8,150.9,23456
2015-02-05 11:35:00,150.9,150.9,149.95,150.1,119652
2015-02-05 11:40:00,150.1,150.85,149.95,150.6,33333
2015-02-05 11:45:00,150.6,150.65,150.2,150.4,18135
2015-02-05 11:50:00,150.4,150.85,150.4,150.75,33256
2015-02-05 11:55:00,150.75,151.0,150.6,150.75,40973
2015-02-05 12:00:00,150.75,150.9,150.7,150.9,15471
2015-02-05 12:05:00,150.9,150.9,150.6,150.6,20481
2015-02-05 12:10:00,150.6,150.85,150.4,150.5,44423
2015-02-05 12:15:00,150.5,150.8,150.5,150.8,16538
2015-02-05 12:20:00,150.8,150.8,150.7,150.7,20129
2015-02-05 12:25:00,150.7,151.0,150.65,150.8,60797
2015-02-05 12:30:00,150.8,150.85,150.3,150.3,16334
2015-02-05 12:35:00,150.3,150.45,149.75,150.15,83267
2015-02-05 12:40:00,150.15,150.5,150.15,150.5,17295
2015-02-05 12:45:00,150.5,150.55,150.4,150.5,6625
2015-02-05 12:50:00,150.5,150.55,150.35,150.55,12270
2015-02-05 12:55:00,150.55,150.7,150.45,150.6,20820
2015-02-05 13:00:00,150.65,150.7,150.4,150.6,18061
2015-02-05 13:05:00,150.6,150.75,150.45,150.55,21496
2015-02-05 13:10:00,150.55,151.0,150.0,150.85,75117
2015-02-05 13:15:00,150.85,151.3,150.5,150.65,112068
2015-02-05 13:20:00,150.65,151.0,150.5,150.8,24114
2015-02-05 13:25:00,150.8,150.95,150.65,150.7,20339
