date,open,high,low,close,volume
2016-07-21 09:40:00,667.0,667.0,667.0,667.0,656826
2016-07-21 09:45:00,667.0,667.0,667.0,667.0,0
2016-07-21 09:50:00,667.0,667.0,667.0,667.0,0
2016-07-21 09:55:00,667.0,667.0,667.0,667.0,0
2016-07-21 10:00:00,667.05,700.5,667.05,694.65,2672814
2016-07-21 10:05:00,694.65,699.9,692.5,697.2,529684
2016-07-21 10:10:00,697.05,697.9,695.35,696.3,257603
2016-07-21 10:15:00,696.15,697.45,694.4,695.0,572207
2016-07-21 10:20:00,695.0,696.25,692.75,694.15,233834
2016-07-21 10:25:00,694.1,703.8,694.1,702.7,762387
2016-07-21 10:30:00,702.6,704.2,700.25,700.9,216761
2016-07-21 10:35:00,700.55,703.8,700.0,702.25,168883
2016-07-21 10:40:00,702.3,709.0,701.65,709.0,530333
2016-07-21 10:45:00,709.4,709.55,706.3,708.75,254836
2016-07-21 10:50:00,708.75,709.9,707.35,707.7,198848
2016-07-21 10:55:00,707.7,709.45,706.4,708.0,147986
2016-07-21 11:00:00,707.85,708.95,706.5,708.5,135655
2016-07-21 11:05:00,708.7,709.0,707.25,708.2,101596
2016-07-21 11:10:00,708.2,708.5,705.2,706.65,108193
2016-07-21 11:15:00,706.65,709.0,706.65,707.4,109577
2016-07-21 11:20:00,707.35,708.4,707.05,708.0,45682
2016-07-21 11:25:00,708.2,708.95,708.0,708.65,78465
2016-07-21 11:30:00,708.65,710.0,707.5,708.55,334399
2016-07-21 11:35:00,708.55,708.9,707.6,707.95,59572
2016-07-21 11:40:00,708.1,708.15,706.1,706.45,58748
2016-07-21 11:45:00,706.1,707.75,705.15,705.35,39914
2016-07-21 11:50:00,705.5,705.8,701.15,702.85,167546
2016-07-21 11:55:00,703.0,703.85,700.15,700.2,110980
2016-07-21 12:00:00,700.45,702.45,700.15,701.5,55483
2016-07-21 12:05:00,701.4,702.0,698.35,701.4,160715
2016-07-21 12:10:00,701.4,703.5,701.1,702.3,58026
2016-07-21 12:15:00,702.55,704.6,702.05,703.85,39221
2016-07-21 12:20:00,703.85,707.6,703.55,707.05,90646
2016-07-21 12:25:00,707.05,707.45,704.0,704.1,32667
2016-07-21 12:30:00,704.15,705.0,703.9,704.6,18357
