date,open,high,low,close,volume
2015-02-02 09:15:00,80.1,80.1,78.95,79.65,44904
2015-02-02 09:20:00,79.65,79.8,79.35,79.5,16234
2015-02-02 09:25:00,79.5,79.6,79.15,79.15,48397
2015-02-02 09:30:00,79.15,79.35,79.0,79.2,12728
2015-02-02 09:35:00,79.2,79.2,79.1,79.15,7129
2015-02-02 09:40:00,79.15,79.15,78.95,79.0,14672
2015-02-02 09:45:00,79.0,79.0,78.75,78.85,19133
2015-02-02 09:50:00,78.85,78.9,78.75,78.85,18799
2015-02-02 09:55:00,78.85,79.0,78.8,78.85,20666
2015-02-02 10:00:00,78.85,79.0,78.85,78.85,8550
2015-02-02 10:05:00,78.85,78.95,78.75,78.75,14491
2015-02-02 10:10:00,78.85,78.85,78.7,78.7,9780
2015-02-02 10:15:00,78.75,78.95,78.65,78.85,21869
2015-02-02 10:20:00,78.6,78.8,78.55,78.65,23233
2015-02-02 10:25:00,78.65,78.65,78.55,78.65,10404
2015-02-02 10:30:00,78.65,78.7,78.55,78.65,18944
2015-02-02 10:35:00,78.65,78.75,78.6,78.75,8752
2015-02-02 10:40:00,78.7,78.85,78.65,78.75,13625
2015-02-02 10:45:00,78.85,78.85,78.75,78.75,14635
2015-02-02 10:50:00,78.75,79.05,78.7,78.85,34746
2015-02-02 10:55:00,78.85,78.9,78.8,78.8,10292
2015-02-02 11:00:00,78.8,79.0,78.8,78.85,7141
2015-02-02 11:05:00,78.85,79.0,78.85,78.85,9248
2015-02-02 11:10:00,78.85,78.9,78.75,78.75,9965
2015-02-02 11:15:00,78.75,78.95,78.75,78.85,23050
2015-02-02 11:20:00,78.85,78.9,78.85,78.85,6419
2015-02-02 11:25:00,78.85,78.9,78.85,78.85,9393
2015-02-02 11:30:00,78.85,78.95,78.85,78.85,22125
2015-02-02 11:35:00,78.85,78.95,78.85,78.85,8319
2015-02-02 11:40:00,78.85,79.0,78.8,78.85,12200
2015-02-02 11:45:00,78.85,78.95,78.85,78.85,8410
2015-02-02 11:50:00,78.85,78.9,78.85,78.85,19962
2015-02-02 11:55:00,78.85,78.9,78.8,78.85,24106
2015-02-02 12:00:00,78.85,78.9,78.8,78.85,10010
2015-02-02 12:05:00,78.85,78.9,78.85,78.85,28878
2015-02-02 12:10:00,78.85,78.9,78.85,78.85,17201
2015-02-02 12:15:00,78.85,78.9,78.85,78.85,12773
2015-02-02 12:20:00,78.85,79.0,78.85,78.85,25108
2015-02-02 12:25:00,78.85,79.0,78.85,78.85,17056
2015-02-02 12:30:00,78.85,79.2,78.85,79.0,50071
2015-02-02 12:35:00,79.0,79.15,78.85,78.85,39913
2015-02-02 12:40:00,78.85,79.0,78.85,78.85,19986
2015-02-02 12:45:00,78.85,78.85,78.7,78.8,28133
2015-02-02 12:50:00,78.8,78.85,78.55,78.65,63866
2015-02-02 12:55:00,78.6,79.1,78.6,78.75,103550
2015-02-02 13:00:00,78.7,79.1,78.7,78.9,58942
2015-02-02 13:05:00,78.85,78.95,78.85,78.95,24532
2015-02-02 13:10:00,78.85,79.0,78.85,79.0,19990
2015-02-02 13:15:00,79.0,79.3,78.9,79.15,42154
2015-02-02 13:20:00,79.15,79.2,79.1,79.15,18502
2015-02-02 13:25:00,79.15,79.3,79.15,79.25,32738
2015-02-02 13:30:00,79.25,79.45,79.25,79.35,27280
2015-02-02 13:35:00,79.4,79.85,79.3,79.75,57384
2015-02-02 13:40:00,79.75,79.9,79.45,79.8,42936
2015-02-02 13:45:00,79.8,79.95,79.55,79.65,45842
2015-02-02 13:50:00,79.65,79.75,79.3,79.6,49168
2015-02-02 13:55:00,79.55,79.65,79.25,79.3,25051
2015-02-02 14:00:00,79.25,79.6,79.2,79.6,28165
2015-02-02 14:05:00,79.6,79.7,79.45,79.45,34226
2015-02-02 14:10:00,79.45,79.5,79.1,79.3,33860
2015-02-02 14:15:00,79.3,79.5,79.15,79.25,37095
2015-02-02 14:20:00,79.2,79.45,79.0,79.2,77843
2015-02-02 14:25:00,79.25,79.35,79.15,79.15,28074
2015-02-02 14:30:00,79.15,79.2,79.0,79.15,31657
2015-02-02 14:35:00,79.15,79.2,78.85,79.2,49710
