date,open,high,low,close,volume
2016-11-08 09:40:00,25.5,25.5,25.5,25.5,5478405
2016-11-08 09:45:00,25.5,25.5,25.5,25.5,0
2016-11-08 09:50:00,25.5,25.5,25.5,25.5,0
2016-11-08 09:55:00,25.5,25.5,25.5,25.5,0
2016-11-08 10:00:00,25.5,25.7,24.75,25.3,25522655
2016-11-08 10:05:00,25.3,25.7,25.3,25.7,6155265
2016-11-08 10:10:00,25.7,25.75,25.35,25.5,4368705
2016-11-08 10:15:00,25.5,25.6,25.35,25.5,1887585
2016-11-08 10:20:00,25.5,25.85,25.45,25.85,2957120
2016-11-08 10:25:00,25.85,26.0,25.7,25.9,5650640
2016-11-08 10:30:00,25.9,26.25,25.9,26.2,7578755
2016-11-08 10:35:00,26.2,26.3,25.65,25.9,4177905
2016-11-08 10:40:00,25.9,26.1,25.9,26.05,1549215
2016-11-08 10:45:00,26.05,26.2,25.9,26.1,1756545
2016-11-08 10:50:00,26.1,26.15,26.0,26.1,875630
2016-11-08 10:55:00,26.1,26.2,26.0,26.1,740210
2016-11-08 11:00:00,26.1,26.3,26.05,26.15,1373515
2016-11-08 11:05:00,26.15,26.25,26.1,26.2,916310
2016-11-08 11:10:00,26.2,26.3,26.15,26.25,1739105
2016-11-08 11:15:00,26.25,26.3,26.15,26.25,1082660
2016-11-08 11:20:00,26.25,26.25,26.1,26.1,1082195
2016-11-08 11:25:00,26.1,26.6,26.1,26.6,7841440
2016-11-08 11:30:00,26.55,26.85,26.5,26.8,11054265
2016-11-08 11:35:00,26.8,27.2,26.8,27.2,8637055
2016-11-08 11:40:00,27.15,27.5,27.1,27.45,9172125
2016-11-08 11:45:00,27.45,27.9,27.45,27.9,13361325
2016-11-08 11:50:00,27.9,27.95,26.9,27.35,7568505
2016-11-08 11:55:00,27.35,27.5,27.15,27.2,2511445
2016-11-08 12:00:00,27.25,27.3,26.75,26.8,3489555
2016-11-08 12:05:00,26.8,26.95,26.6,26.7,2509065
2016-11-08 12:10:00,26.65,26.7,26.25,26.3,3114340
2016-11-08 12:15:00,26.3,26.35,26.0,26.15,5267675
2016-11-08 12:20:00,26.15,26.4,26.1,26.4,1626325
2016-11-08 12:25:00,26.4,26.75,26.35,26.75,2223015
2016-11-08 12:30:00,26.75,27.1,26.65,26.95,4091810
2016-11-08 12:35:00,26.95,27.2,26.9,27.05,2102030
2016-11-08 12:40:00,27.05,27.2,26.9,27.1,1261135
2016-11-08 12:45:00,27.1,27.2,27.05,27.1,661075
2016-11-08 12:50:00,27.1,27.1,26.85,26.9,1277950
2016-11-08 12:55:00,26.9,27.05,26.85,27.0,733315
2016-11-08 13:00:00,27.0,27.1,27.0,27.0,617685
2016-11-08 13:05:00,27.0,27.1,27.0,27.0,524155
2016-11-08 13:10:00,27.0,27.15,27.0,27.15,703970
2016-11-08 13:15:00,27.15,27.15,27.0,27.0,310495
2016-11-08 13:20:00,27.0,27.05,27.0,27.0,437485
2016-11-08 13:25:00,27.0,27.2,27.0,27.2,720710
2016-11-08 13:30:00,27.15,27.2,27.0,27.1,659480
2016-11-08 13:35:00,27.1,27.25,27.1,27.2,654340
2016-11-08 13:40:00,27.2,27.5,27.15,27.4,2969045
2016-11-08 13:45:00,27.4,27.65,27.4,27.55,2482605
2016-11-08 13:50:00,27.55,27.6,27.3,27.45,1039270
2016-11-08 13:55:00,27.5,27.65,27.45,27.55,954495
2016-11-08 14:00:00,27.55,27.7,27.5,27.5,1352910
2016-11-08 14:05:00,27.5,27.5,27.3,27.4,869450
2016-11-08 14:10:00,27.4,27.7,27.4,27.65,1365640
2016-11-08 14:15:00,27.6,27.8,27.6,27.7,2047735
2016-11-08 14:20:00,27.7,27.8,27.65,27.7,1176765
2016-11-08 14:25:00,27.65,27.75,27.6,27.7,858965
2016-11-08 14:30:00,27.7,27.75,27.45,27.5,1072160
2016-11-08 14:35:00,27.5,27.55,27.15,27.15,1709535
2016-11-08 14:40:00,27.15,27.15,26.85,27.0,2548515
2016-11-08 14:45:00,27.05,27.1,26.7,26.85,1852125
2016-11-08 14:50:00,26.9,27.2,26.85,27.1,1351435
2016-11-08 14:55:00,27.1,27.35,27.1,27.2,1672370
2016-11-08 15:00:00,27.2,27.4,27.1,27.4,939300
2016-11-08 15:05:00,27.4,27.5,27.35,27.5,1253450
2016-11-08 15:10:00,27.5,27.55,27.15,27.15,1561565
2016-11-08 15:15:00,27.15,27.2,27.05,27.1,1562845
2016-11-08 15:20:00,27.1,27.1,27.0,27.1,1719270
2016-11-08 15:25:00,27.1,27.3,27.0,27.1,3399070
2016-11-09 09:15:00,24.9,24.9,23.35,24.45,450755
2016-11-09 09:20:00,24.45,25.2,24.05,25.2,272110
2016-11-09 09:25:00,25.05,25.2,24.9,24.9,273435
2016-11-09 09:30:00,24.95,25.5,24.9,25.4,212975
2016-11-09 09:35:00,25.5,25.8,25.5,25.5,347470
2016-11-09 09:40:00,25.5,25.8,25.4,25.8,208350
2016-11-09 09:45:00,25.85,25.85,25.6,25.8,315090
2016-11-09 09:50:00,25.8,25.8,25.8,25.8,130515
2016-11-09 09:55:00,25.8,26.05,25.8,25.9,273330
2016-11-09 10:00:00,25.9,25.9,25.8,25.8,158990
2016-11-09 10:05:00,25.8,25.8,25.45,25.5,332735
2016-11-09 10:10:00,25.55,25.6,25.5,25.5,87600
2016-11-09 10:15:00,25.5,25.55,25.4,25.4,91400
2016-11-09 10:20:00,25.4,25.55,25.4,25.45,153645
2016-11-09 10:25:00,25.45,25.5,25.35,25.35,134145
2016-11-09 10:30:00,25.35,25.45,25.35,25.35,44095
2016-11-09 10:35:00,25.35,25.45,25.35,25.45,112680
2016-11-09 10:40:00,25.45,25.75,25.4,25.6,130760
2016-11-09 10:45:00,25.55,25.6,25.5,25.5,61545
2016-11-09 10:50:00,25.5,25.55,25.5,25.5,33470
2016-11-09 10:55:00,25.5,25.55,25.5,25.5,47500
2016-11-09 11:00:00,25.5,25.55,25.5,25.5,31310
2016-11-09 11:05:00,25.5,25.55,25.5,25.5,10410
2016-11-09 11:10:00,25.5,25.55,25.5,25.5,19050
2016-11-09 11:15:00,25.5,25.5,25.5,25.5,9905
2016-11-09 11:20:00,25.5,25.5,25.5,25.5,8170
2016-11-09 11:25:00,25.5,25.5,25.5,25.5,22535
2016-11-09 11:30:00,25.5,25.55,25.5,25.55,13635
2016-11-09 11:35:00,25.5,25.55,25.5,25.5,12290
2016-11-09 11:40:00,25.5,25.5,25.5,25.5,35590
2016-11-09 11:45:00,25.5,25.55,25.5,25.5,22390
2016-11-09 11:50:00,25.5,25.5,25.5,25.5,11105
2016-11-09 11:55:00,25.5,25.5,25.5,25.5,9445
2016-11-09 12:00:00,25.5,25.55,25.5,25.5,46340
2016-11-09 12:05:00,25.5,25.5,25.5,25.5,17245
2016-11-09 12:10:00,25.5,25.5,25.5,25.5,50720
2016-11-09 12:15:00,25.5,25.5,25.5,25.5,18885
2016-11-09 12:20:00,25.5,25.5,25.5,25.5,19505
2016-11-09 12:25:00,25.5,25.5,25.4,25.4,39110
2016-11-09 12:30:00,25.4,25.5,25.4,25.5,24795
2016-11-09 12:35:00,25.5,25.55,25.5,25.5,17225
2016-11-09 12:40:00,25.55,25.55,25.5,25.5,20185
2016-11-09 12:45:00,25.5,25.55,25.5,25.5,79420
2016-11-09 12:50:00,25.5,25.7,25.5,25.6,69045
2016-11-09 12:55:00,25.6,25.7,25.6,25.65,57275
2016-11-09 13:00:00,25.65,25.7,25.55,25.55,18260
2016-11-09 13:05:00,25.55,25.7,25.55,25.7,23100
2016-11-09 13:10:00,25.7,25.75,25.65,25.7,46685
2016-11-09 13:15:00,25.7,25.7,25.6,25.7,54040
2016-11-09 13:20:00,25.7,25.8,25.65,25.75,154270
2016-11-09 13:25:00,25.75,26.25,25.7,26.2,663400
2016-11-09 13:30:00,26.2,26.2,26.15,26.2,102220
2016-11-09 13:35:00,26.2,26.65,26.2,26.4,625240
2016-11-09 13:40:00,26.55,26.65,26.4,26.4,279735
2016-11-09 13:45:00,26.4,26.4,26.3,26.3,158670
2016-11-09 13:50:00,26.3,26.4,26.3,26.35,60480
2016-11-09 13:55:00,26.35,26.4,26.3,26.3,72185
2016-11-09 14:00:00,26.3,26.4,26.3,26.35,40125
2016-11-09 14:05:00,26.35,26.5,26.3,26.4,228195
2016-11-09 14:10:00,26.4,26.6,26.35,26.45,670850
2016-11-09 14:15:00,26.45,26.5,26.05,26.05,90185
2016-11-09 14:20:00,26.05,26.4,26.05,26.3,199730
2016-11-09 14:25:00,26.35,26.4,26.3,26.35,39415
2016-11-09 14:30:00,26.35,26.5,26.35,26.4,38860
2016-11-09 14:35:00,26.4,26.5,26.4,26.5,45465
2016-11-09 14:40:00,26.5,26.5,26.25,26.25,59785
2016-11-09 14:45:00,26.25,26.3,26.0,26.0,61975
2016-11-09 14:50:00,26.0,26.05,25.4,25.45,191125
2016-11-09 14:55:00,25.45,25.8,25.4,25.8,151990
2016-11-09 15:00:00,25.8,25.9,25.75,25.8,46585
2016-11-09 15:05:00,25.8,25.8,25.75,25.8,29300
2016-11-09 15:10:00,25.8,26.0,25.65,25.8,78100
2016-11-09 15:15:00,25.8,25.85,25.7,25.75,56690
2016-11-09 15:20:00,25.75,25.8,25.55,25.6,106915
2016-11-09 15:25:00,25.65,25.8,25.55,25.8,161825
2016-11-10 09:15:00,26.4,27.2,26.4,27.2,457890
2016-11-10 09:20:00,27.25,27.25,26.9,26.95,270845
2016-11-10 09:25:00,26.95,27.1,26.9,27.0,109495
2016-11-10 09:30:00,27.0,27.1,26.85,26.9,107660
2016-11-10 09:35:00,26.9,26.9,26.8,26.85,80460
2016-11-10 09:40:00,26.85,26.9,26.8,26.85,96205
2016-11-10 09:45:00,26.85,26.9,26.8,26.8,45305
2016-11-10 09:50:00,26.8,26.85,26.7,26.75,85150
2016-11-10 09:55:00,26.75,26.8,26.7,26.7,77250
2016-11-10 10:00:00,26.7,26.9,26.7,26.85,40520
2016-11-10 10:05:00,26.85,26.85,26.7,26.8,26070
2016-11-10 10:10:00,26.8,26.85,26.75,26.8,12565
2016-11-10 10:15:00,26.8,26.85,26.7,26.75,24515
2016-11-10 10:20:00,26.75,26.8,26.7,26.75,31105
2016-11-10 10:25:00,26.75,26.75,26.6,26.6,71785
2016-11-10 10:30:00,26.6,26.65,26.6,26.6,40255
2016-11-10 10:35:00,26.6,26.75,26.6,26.7,30160
2016-11-10 10:40:00,26.7,26.75,26.7,26.75,22620
2016-11-10 10:45:00,26.75,26.75,26.7,26.7,8980
2016-11-10 10:50:00,26.7,26.7,26.6,26.65,19385
2016-11-10 10:55:00,26.65,26.65,26.4,26.55,99775
2016-11-10 11:00:00,26.55,26.6,26.5,26.55,34055
2016-11-10 11:05:00,26.55,26.6,26.55,26.55,14675
2016-11-10 11:10:00,26.55,26.6,26.55,26.6,21625
2016-11-10 11:15:00,26.6,26.65,26.55,26.55,15625
2016-11-10 11:20:00,26.55,26.6,26.4,26.45,75075
2016-11-10 11:25:00,26.45,26.45,26.35,26.35,102885
2016-11-10 11:30:00,26.35,26.4,26.35,26.4,51230
2016-11-10 11:35:00,26.4,26.55,26.4,26.5,37070
2016-11-10 11:40:00,26.5,26.5,26.45,26.5,21125
2016-11-10 11:45:00,26.5,26.5,26.45,26.45,23285
2016-11-10 11:50:00,26.45,26.5,26.4,26.45,17015
2016-11-10 11:55:00,26.45,26.45,26.35,26.35,18265
2016-11-10 12:00:00,26.35,26.5,26.35,26.5,82430
2016-11-10 12:05:00,26.5,26.55,26.5,26.5,34020
2016-11-10 12:10:00,26.5,26.6,26.5,26.55,59185
2016-11-10 12:15:00,26.55,26.6,26.55,26.6,25680
2016-11-10 12:20:00,26.6,26.6,26.55,26.55,14565
2016-11-10 12:25:00,26.55,26.6,26.55,26.6,14180
2016-11-10 12:30:00,26.6,26.6,26.55,26.6,11315
2016-11-10 12:35:00,26.6,26.6,26.5,26.5,22415
2016-11-10 12:40:00,26.5,26.55,26.5,26.5,14985
2016-11-10 12:45:00,26.5,26.5,26.45,26.45,11055
2016-11-10 12:50:00,26.45,26.5,26.45,26.45,8630
2016-11-10 12:55:00,26.45,26.5,26.45,26.45,6275
2016-11-10 13:00:00,26.45,26.45,26.25,26.3,406955
2016-11-10 13:05:00,26.3,26.3,26.1,26.15,137195
2016-11-10 13:10:00,26.15,26.25,26.1,26.2,59575
2016-11-10 13:15:00,26.2,26.25,26.2,26.2,26380
2016-11-10 13:20:00,26.2,26.2,26.15,26.15,17870
2016-11-10 13:25:00,26.15,26.25,26.1,26.25,54140
2016-11-10 13:30:00,26.25,26.3,26.2,26.25,26255
2016-11-10 13:35:00,26.25,26.25,26.25,26.25,14340
2016-11-10 13:40:00,26.25,26.25,26.25,26.25,11050
2016-11-10 13:45:00,26.25,26.4,26.25,26.35,203975
2016-11-10 13:50:00,26.3,26.5,26.3,26.4,399535
2016-11-10 13:55:00,26.4,26.4,26.35,26.35,24665
2016-11-10 14:00:00,26.35,26.4,26.35,26.4,16300
2016-11-10 14:05:00,26.4,26.4,26.4,26.4,15960
2016-11-10 14:10:00,26.4,26.4,26.35,26.35,18590
2016-11-10 14:15:00,26.35,26.4,26.3,26.4,62795
2016-11-10 14:20:00,26.4,26.45,26.35,26.4,37045
2016-11-10 14:25:00,26.4,26.45,26.4,26.4,5665
2016-11-10 14:30:00,26.4,26.4,26.4,26.4,7400
2016-11-10 14:35:00,26.4,26.4,26.2,26.2,36155
2016-11-10 14:40:00,26.25,26.25,26.1,26.1,108095
2016-11-10 14:45:00,26.1,26.1,26.0,26.0,134615
2016-11-10 14:50:00,26.0,26.05,26.0,26.0,35140
2016-11-10 14:55:00,26.0,26.1,26.0,26.05,34660
2016-11-10 15:00:00,26.1,26.1,25.95,25.95,67080
2016-11-10 15:05:00,25.95,26.0,25.85,25.9,79810
2016-11-10 15:10:00,25.9,25.95,25.8,25.85,77370
2016-11-10 15:15:00,25.85,25.85,25.65,25.75,165180
2016-11-10 15:20:00,25.8,25.85,25.7,25.8,168020
2016-11-10 15:25:00,25.8,26.0,25.8,26.0,209920
2016-11-11 09:15:00,25.5,25.6,25.5,25.55,78475
2016-11-11 09:20:00,25.55,25.6,25.55,25.6,47070
2016-11-11 09:25:00,25.55,26.05,25.5,25.9,106630
2016-11-11 09:30:00,25.95,25.95,25.55,25.65,59060
2016-11-11 09:35:00,25.65,25.7,25.55,25.55,41750
2016-11-11 09:40:00,25.55,25.6,25.5,25.5,39980
