Date,Type,Entry_Time,Exit_Time,Entry_P,Exit_P,PnL_Pct,Reason
2015-01-14,LONG,10:25:00,11:05:00,8303.85,8293.958571428571,-0.12,SL/Trail
2015-01-23,LONG,10:30:00,10:35:00,8813.05,8827.95,0.17,SL/Trail
2015-02-06,LONG,10:30:00,10:35:00,8681.15,8690.6,0.11,SL/Trail
2015-02-09,LONG,09:40:00,09:50:00,8587.25,8577.85,-0.11,SL/Trail
2015-03-17,SHORT,10:10:00,10:15:00,8723.25,8691.2,0.37,SL/Trail
2015-03-30,SHORT,09:50:00,09:55:00,8399.3,8403.25,-0.05,SL/Trail
2015-04-30,SHORT,10:30:00,11:10:00,8173.6,8175.227142857143,-0.02,SL/Trail
2015-05-11,SHORT,09:50:00,09:55:00,8262.2,8247.2,0.18,SL/Trail
2015-06-17,SHORT,09:20:00,10:25:00,8076.65,8067.602142857143,0.11,SL/Trail
2015-07-08,LONG,09:40:00,10:40:00,8441.8,8442.47,0.01,SL/Trail
2015-07-17,LONG,10:00:00,10:05:00,8612.5,8614.1,0.02,SL/Trail
2015-07-28,SHORT,10:30:00,12:05:00,8385.5,8371.164285714287,0.17,SL/Trail
2015-07-29,SHORT,10:15:00,11:05:00,8360.15,8360.880000000001,-0.01,SL/Trail
2015-08-21,SHORT,10:15:00,10:55:00,8262.75,8250.051428571429,0.15,SL/Trail
2015-08-27,SHORT,10:25:00,10:45:00,7899.4,7907.553571428572,-0.1,SL/Trail
2015-08-28,SHORT,09:30:00,09:50:00,8048.35,8059.35,-0.14,SL/Trail
2015-09-09,SHORT,09:45:00,10:25:00,7798.35,7800.660714285715,-0.03,SL/Trail
2015-09-14,SHORT,10:25:00,10:30:00,7809.7,7811.1,-0.02,SL/Trail
2015-10-27,LONG,09:25:00,10:20:00,8238.9,8229.987857142856,-0.11,SL/Trail
2015-11-27,SHORT,10:00:00,10:05:00,7925.45,7910.6,0.19,SL/Trail
2015-11-30,LONG,10:25:00,11:25:00,7934.95,7932.180714285715,-0.03,SL/Trail
2015-12-11,SHORT,10:30:00,10:40:00,7678.2,7681.502142857143,-0.04,SL/Trail
2016-01-04,LONG,10:20:00,10:25:00,7891.75,7902.95,0.14,SL/Trail
2016-01-05,SHORT,10:30:00,11:00:00,7807.45,7785.148571428572,0.29,SL/Trail
2016-01-19,SHORT,10:05:00,10:10:00,7401.75,7392.95,0.12,SL/Trail
2016-02-05,SHORT,09:20:00,09:25:00,7409.55,7421.1,-0.16,SL/Trail
2016-03-14,LONG,10:30:00,10:55:00,7558.15,7554.439285714286,-0.05,SL/Trail
2016-03-17,LONG,10:30:00,10:35:00,7555.7,7557.25,0.02,SL/Trail
2016-05-12,LONG,10:30:00,12:05:00,7892.45,7894.692857142857,0.03,SL/Trail
2016-06-13,LONG,09:55:00,10:00:00,8091.4,8094.65,0.04,SL/Trail
2016-06-17,LONG,10:10:00,10:15:00,8168.0,8176.65,0.11,SL/Trail
2016-06-24,LONG,09:30:00,09:55:00,8037.25,7979.673571428571,-0.72,SL/Trail
2016-06-29,SHORT,10:05:00,10:10:00,8177.65,8175.8,0.02,SL/Trail
2016-09-12,LONG,09:30:00,10:30:00,8727.5,8733.418571428572,0.07,SL/Trail
2016-09-29,SHORT,09:35:00,11:10:00,8786.45,8774.31357142857,0.14,SL/Trail
2016-10-03,SHORT,09:50:00,09:55:00,8692.2,8671.25,0.24,SL/Trail
2016-10-28,SHORT,10:25:00,10:30:00,8638.3,8625.0,0.15,SL/Trail
2016-11-30,SHORT,10:15:00,10:20:00,8171.9,8172.15,-0.0,SL/Trail
2016-12-12,LONG,09:45:00,10:00:00,8220.5,8210.15,-0.13,SL/Trail
2016-12-13,SHORT,10:20:00,11:00:00,8174.45,8181.870714285715,-0.09,SL/Trail
2016-12-27,SHORT,10:30:00,10:35:00,7934.0,7935.55,-0.02,SL/Trail
2016-12-28,SHORT,10:05:00,10:10:00,8070.2,8057.5,0.16,SL/Trail
2017-01-17,LONG,10:30:00,10:35:00,8409.45,8415.05,0.07,SL/Trail
2017-02-03,LONG,10:25:00,10:30:00,8721.45,8718.1,-0.04,SL/Trail
2017-03-03,LONG,10:05:00,10:10:00,8867.55,8871.9,0.05,SL/Trail
2017-05-18,LONG,10:30:00,10:45:00,9457.8,9453.0,-0.05,SL/Trail
2017-05-29,LONG,10:20:00,11:45:00,9577.15,9586.683571428572,0.1,SL/Trail
