Symbol,Date,Type,Entry_Time,Exit_Time,Entry_P,Exit_P,PnL_Pct,Reason
ADANIENT,2015-03-12,SHORT,09:35:00,10:35:00,654.4,653.1978571428572,0.18,SL/Trail
ADANIENT,2015-05-20,LONG,10:20:00,11:50:00,775.45,776.6421428571429,0.15,SL/Trail
ADANIENT,2015-06-25,LONG,10:15:00,10:20:00,93.1,93.25,0.16,SL/Trail
ADANIENT,2015-07-06,LONG,10:30:00,11:00:00,90.5,90.01857142857143,-0.53,SL/Trail
ADANIENT,2015-07-14,LONG,10:25:00,10:50:00,91.0,90.64999999999999,-0.38,SL/Trail
ADANIENT,2015-07-30,SHORT,10:15:00,10:20:00,83.35,82.5,1.02,SL/Trail
ADANIENT,2015-08-18,LONG,10:15:00,10:20:00,89.15,88.95,-0.22,SL/Trail
ADANIENT,2015-09-10,SHORT,10:30:00,11:25:00,68.25,68.48571428571428,-0.35,SL/Trail
ADANIENT,2015-10-16,LONG,10:10:00,10:20:00,98.4,98.3,-0.1,SL/Trail
ADANIENT,2015-11-27,SHORT,10:15:00,10:45:00,83.35,83.51857142857142,-0.2,SL/Trail
ADANIENT,2016-01-05,SHORT,10:30:00,11:00:00,85.9,86.10357142857143,-0.24,SL/Trail
ADANIENT,2016-01-11,SHORT,10:10:00,10:40:00,80.55,81.0,-0.56,SL/Trail
ADANIENT,2016-02-25,SHORT,10:25:00,10:30:00,61.65,61.6,0.08,SL/Trail
ADANIENT,2016-03-29,LONG,10:30:00,10:40:00,68.45,67.88428571428571,-0.83,SL/Trail
ADANIENT,2016-05-20,SHORT,09:50:00,09:55:00,72.05,71.85,0.28,SL/Trail
ADANIENT,2016-05-25,SHORT,10:25:00,10:50:00,71.4,71.17500000000001,0.32,SL/Trail
ADANIENT,2016-05-30,LONG,10:25:00,10:30:00,73.25,73.55,0.41,SL/Trail
ADANIENT,2016-06-09,LONG,10:05:00,10:10:00,74.45,74.6,0.2,SL/Trail
ADANIENT,2016-06-13,LONG,09:45:00,10:45:00,73.55,73.95142857142856,0.55,SL/Trail
ADANIENT,2016-06-22,LONG,10:10:00,10:15:00,78.45,78.75,0.38,SL/Trail
ADANIENT,2016-08-24,LONG,10:30:00,11:40:00,74.4,74.5042857142857,0.14,SL/Trail
ADANIENT,2016-08-31,LONG,10:20:00,10:25:00,73.1,73.3,0.27,SL/Trail
ADANIENT,2016-09-23,LONG,10:20:00,10:25:00,71.8,71.8,0.0,SL/Trail
ADANIENT,2016-09-30,SHORT,09:50:00,09:55:00,65.2,65.1,0.15,SL/Trail
ADANIENT,2016-10-05,LONG,10:25:00,10:30:00,67.95,68.15,0.29,SL/Trail
ADANIENT,2016-11-07,SHORT,10:30:00,10:45:00,63.3,63.50714285714286,-0.33,SL/Trail
ADANIENT,2016-11-18,SHORT,10:15:00,10:20:00,63.7,63.4,0.47,SL/Trail
ADANIENT,2016-12-27,SHORT,10:30:00,11:05:00,69.55,69.9657142857143,-0.6,SL/Trail
ADANIENT,2017-01-05,LONG,10:30:00,11:40:00,78.5,78.90928571428572,0.52,SL/Trail
ADANIENT,2017-01-06,LONG,10:30:00,10:35:00,78.7,79.25,0.7,SL/Trail
ADANIENT,2017-01-11,LONG,10:30:00,10:35:00,80.5,80.5,0.0,SL/Trail
ADANIENT,2017-01-31,LONG,10:25:00,10:30:00,90.4,92.1,1.88,SL/Trail
ADANIENT,2017-03-20,LONG,10:25:00,10:30:00,101.95,103.05,1.08,SL/Trail
ADANIENT,2017-05-16,LONG,10:30:00,11:50:00,122.0,122.83428571428571,0.68,SL/Trail
ADANIENT,2017-05-31,LONG,10:10:00,10:15:00,117.25,118.2,0.81,SL/Trail
ADANIENT,2017-07-17,LONG,09:45:00,09:50:00,139.25,139.5,0.18,SL/Trail
ADANIENT,2017-09-21,LONG,10:20:00,10:25:00,126.0,129.4,2.7,SL/Trail
ADANIENT,2017-09-28,SHORT,10:20:00,10:25:00,116.15,115.9,0.22,SL/Trail
ADANIENT,2017-11-07,LONG,10:05:00,10:10:00,145.9,150.0,2.81,SL/Trail
ADANIENT,2017-12-04,SHORT,10:15:00,10:20:00,144.0,143.55,0.31,SL/Trail
ADANIENT,2017-12-05,SHORT,10:30:00,11:05:00,141.75,141.4335714285714,0.22,SL/Trail
ADANIENT,2017-12-20,LONG,10:15:00,10:20:00,159.2,159.0,-0.13,SL/Trail
ADANIENT,2017-12-21,LONG,10:05:00,10:10:00,160.8,161.25,0.28,SL/Trail
ADANIENT,2018-01-08,LONG,10:30:00,10:55:00,197.5,196.10214285714287,-0.71,SL/Trail
ADANIENT,2018-01-22,LONG,10:25:00,10:35:00,198.1,197.6,-0.25,SL/Trail
ADANIENT,2018-01-24,LONG,10:25:00,10:30:00,200.7,202.15,0.72,SL/Trail
ADANIENT,2018-04-12,LONG,10:20:00,10:25:00,143.7,144.35,0.45,SL/Trail
ADANIENT,2018-06-19,LONG,10:30:00,11:00:00,133.35,132.63500000000002,-0.54,SL/Trail
ADANIENT,2018-07-03,SHORT,09:45:00,09:50:00,107.1,105.0,1.96,SL/Trail
ADANIENT,2018-07-16,LONG,10:25:00,11:00:00,130.9,130.25214285714284,-0.49,SL/Trail
ADANIENT,2018-08-30,LONG,10:20:00,11:15:00,221.75,224.50714285714287,1.24,SL/Trail
ADANIENT,2018-09-19,SHORT,10:30:00,11:10:00,149.5,148.40642857142856,0.73,SL/Trail
ADANIENT,2018-09-26,SHORT,09:20:00,12:20:00,139.6,134.97142857142856,3.32,SL/Trail
ADANIENT,2018-11-06,LONG,10:10:00,10:15:00,165.8,166.6,0.48,SL/Trail
ADANIENT,2018-12-21,LONG,10:15:00,10:20:00,157.1,159.2,1.34,SL/Trail
ADANIENT,2019-01-01,LONG,10:30:00,11:10:00,161.15,160.9,-0.16,SL/Trail
ADANIENT,2019-02-12,LONG,09:50:00,11:05:00,116.8,116.98,0.15,SL/Trail
ADANIENT,2019-03-18,LONG,10:20:00,10:25:00,141.65,141.75,0.07,SL/Trail
