date,open,high,low,close,volume
2015-02-02 09:15:00,52.5,52.7,52.05,52.2,567505
2015-02-02 09:20:00,52.2,52.25,51.55,51.7,189507
2015-02-02 09:25:00,51.7,51.95,51.65,51.65,124519
2015-02-02 09:30:00,51.65,51.75,51.6,51.65,98774
2015-02-02 09:35:00,51.7,51.95,51.7,51.8,139804
2015-02-02 09:40:00,51.8,52.2,51.75,52.15,106269
2015-02-02 09:45:00,52.15,52.25,51.8,51.8,209322
2015-02-02 09:50:00,51.8,51.9,51.8,51.85,43835
2015-02-02 09:55:00,51.85,52.0,51.8,51.9,37769
2015-02-02 10:00:00,51.9,52.0,51.85,51.95,48585
2015-02-02 10:05:00,51.95,51.95,51.3,51.6,251269
2015-02-02 10:10:00,51.65,51.85,51.55,51.65,65464
2015-02-02 10:15:00,51.7,51.95,51.7,51.85,83432
2015-02-02 10:20:00,51.85,51.9,51.75,51.8,46172
2015-02-02 10:25:00,51.8,51.9,51.75,51.9,25523
2015-02-02 10:30:00,51.9,52.3,51.8,52.15,341785
2015-02-02 10:35:00,52.1,52.25,52.1,52.2,147776
2015-02-02 10:40:00,52.2,52.3,52.15,52.2,139904
2015-02-02 10:45:00,52.2,52.25,52.05,52.05,71270
2015-02-02 10:50:00,52.05,52.25,51.9,52.15,101746
2015-02-02 10:55:00,52.15,52.15,51.95,51.95,47198
2015-02-02 11:00:00,51.95,52.15,51.95,52.1,48270
2015-02-02 11:05:00,52.1,52.1,52.05,52.1,50754
2015-02-02 11:10:00,52.1,52.1,51.75,51.85,180255
2015-02-02 11:15:00,51.85,51.95,51.75,51.9,43709
2015-02-02 11:20:00,51.9,51.95,51.8,51.85,26568
2015-02-02 11:25:00,51.8,51.95,51.8,51.95,48081
2015-02-02 11:30:00,51.95,52.05,51.8,52.05,49507
2015-02-02 11:35:00,52.05,52.1,51.9,52.0,60398
2015-02-02 11:40:00,52.0,52.0,51.95,51.95,10305
2015-02-02 11:45:00,51.95,52.0,51.9,51.9,19049
2015-02-02 11:50:00,51.9,51.95,51.85,51.9,37985
2015-02-02 11:55:00,51.95,51.95,51.8,51.8,34224
2015-02-02 12:00:00,51.8,51.95,51.8,51.95,19493
2015-02-02 12:05:00,51.95,51.95,51.85,51.9,18650
2015-02-02 12:10:00,51.9,51.95,51.85,51.95,14991
2015-02-02 12:15:00,51.9,52.1,51.9,52.0,52616
2015-02-02 12:20:00,52.05,52.05,51.95,52.05,28531
2015-02-02 12:25:00,52.05,52.05,51.95,51.95,11073
2015-02-02 12:30:00,52.0,52.05,52.0,52.0,15217
2015-02-02 12:35:00,52.05,52.1,52.0,52.0,15597
2015-02-02 12:40:00,52.0,52.05,52.0,52.0,24930
2015-02-02 12:45:00,51.95,52.05,51.95,52.0,11839
2015-02-02 12:50:00,52.0,52.15,51.95,52.15,80272
2015-02-02 12:55:00,52.15,52.15,51.95,52.0,22408
2015-02-02 13:00:00,52.0,52.1,51.95,52.0,29497
2015-02-02 13:05:00,52.0,52.05,52.0,52.0,6312
2015-02-02 13:10:00,52.0,52.1,52.0,52.05,8191
2015-02-02 13:15:00,52.1,52.1,51.95,52.0,42336
2015-02-02 13:20:00,52.0,52.1,52.0,52.05,16417
2015-02-02 13:25:00,52.05,52.15,52.05,52.1,21897
2015-02-02 13:30:00,52.1,52.2,52.05,52.05,45615
2015-02-02 13:35:00,52.1,52.2,52.05,52.05,80691
2015-02-02 13:40:00,52.05,52.15,52.0,52.05,20887
2015-02-02 13:45:00,52.05,52.15,52.0,52.1,36125
2015-02-02 13:50:00,52.1,52.1,52.0,52.05,22830
2015-02-02 13:55:00,52.05,52.1,51.95,52.05,31766
2015-02-02 14:00:00,52.05,52.15,52.0,52.15,19161
2015-02-02 14:05:00,52.2,52.2,52.0,52.0,26494
2015-02-02 14:10:00,52.0,52.05,51.85,51.9,46491
2015-02-02 14:15:00,51.9,51.95,51.85,51.95,27568
2015-02-02 14:20:00,51.95,52.0,51.9,51.95,27070
2015-02-02 14:25:00,51.95,51.95,51.85,51.9,26723
2015-02-02 14:30:00,51.9,52.0,51.9,51.9,57928
2015-02-02 14:35:00,51.9,51.95,51.75,51.9,66280
2015-02-02 14:40:00,51.9,51.95,51.85,51.9,37162
2015-02-02 14:45:00,51.9,51.9,51.8,51.85,31358
2015-02-02 14:50:00,51.9,52.0,51.8,51.95,49952
2015-02-02 14:55:00,51.95,52.2,51.9,52.15,102214
2015-02-02 15:00:00,52.15,52.15,52.0,52.1,85238
2015-02-02 15:05:00,52.1,52.1,51.9,51.95,110054
2015-02-02 15:10:00,51.95,51.95,51.75,51.75,124268
2015-02-02 15:15:00,51.8,51.8,51.55,51.65,160510
2015-02-02 15:20:00,51.65,51.7,51.4,51.45,203401
2015-02-02 15:25:00,51.5,51.6,51.45,51.6,143631
2015-02-03 09:15:00,51.8,52.0,51.65,51.7,108744
2015-02-03 09:20:00,51.75,51.95,51.65,51.85,102826
2015-02-03 09:25:00,51.8,51.85,51.7,51.8,105033
2015-02-03 09:30:00,51.85,51.85,51.45,51.45,131887
2015-02-03 09:35:00,51.4,51.5,51.3,51.4,176401
2015-02-03 09:40:00,51.4,51.45,51.25,51.25,48376
2015-02-03 09:45:00,51.3,51.4,51.15,51.2,80239
2015-02-03 09:50:00,51.2,51.4,51.15,51.3,60478
2015-02-03 09:55:00,51.3,51.35,51.15,51.15,69213
2015-02-03 10:00:00,51.1,51.15,51.05,51.1,38830
2015-02-03 10:05:00,51.1,51.15,51.0,51.15,71040
2015-02-03 10:10:00,51.15,51.15,51.0,51.1,52675
2015-02-03 10:15:00,51.1,51.1,50.7,50.8,106861
2015-02-03 10:20:00,50.85,50.9,50.75,50.8,41839
2015-02-03 10:25:00,50.8,50.9,50.75,50.8,37194
2015-02-03 10:30:00,50.8,50.95,50.8,50.85,44003
2015-02-03 10:35:00,50.85,50.95,50.7,50.8,75245
2015-02-03 10:40:00,50.75,50.85,50.55,50.7,85560
2015-02-03 10:45:00,50.7,50.7,50.4,50.7,101497
2015-02-03 10:50:00,50.7,50.8,50.65,50.8,58978
2015-02-03 10:55:00,50.8,50.8,50.5,50.65,100269
