date,open,high,low,close,volume
2015-02-02 09:15:00,698.0,701.8,696.4,699.65,36668
2015-02-02 09:20:00,699.9,703.9,699.6,702.4,21952
2015-02-02 09:25:00,702.5,706.0,702.15,703.8,26955
2015-02-02 09:30:00,703.5,705.0,703.35,704.0,8317
2015-02-02 09:35:00,704.0,704.9,702.8,703.55,6290
2015-02-02 09:40:00,703.55,704.7,702.6,704.5,6692
2015-02-02 09:45:00,704.5,706.2,702.5,703.2,21397
2015-02-02 09:50:00,703.2,703.7,702.8,703.7,4204
2015-02-02 09:55:00,703.7,705.6,703.2,705.45,5737
2015-02-02 10:00:00,705.45,705.55,703.7,703.7,6667
2015-02-02 10:05:00,703.5,703.85,702.5,703.45,7367
2015-02-02 10:10:00,703.45,703.85,702.25,702.75,5829
2015-02-02 10:15:00,702.75,702.75,701.2,701.95,8013
2015-02-02 10:20:00,702.0,702.0,700.0,700.55,6338
2015-02-02 10:25:00,700.65,702.0,700.55,701.6,3957
2015-02-02 10:30:00,701.6,701.65,700.5,700.95,4555
2015-02-02 10:35:00,701.0,701.45,700.85,701.4,2304
2015-02-02 10:40:00,701.4,701.95,701.0,701.7,3464
2015-02-02 10:45:00,701.7,704.95,701.05,704.95,9337
2015-02-02 10:50:00,704.95,705.0,703.55,703.55,7255
2015-02-02 10:55:00,703.55,703.9,702.05,702.15,4106
2015-02-02 11:00:00,702.05,704.1,702.05,704.0,6709
2015-02-02 11:05:00,704.0,705.75,703.6,704.9,9112
2015-02-02 11:10:00,704.9,706.0,704.55,704.65,6013
2015-02-02 11:15:00,705.1,705.6,704.5,705.1,5772
2015-02-02 11:20:00,704.85,705.1,703.15,704.35,10741
2015-02-02 11:25:00,704.0,704.85,703.2,703.75,6444
2015-02-02 11:30:00,703.75,703.75,701.7,702.0,5656
2015-02-02 11:35:00,701.7,703.65,701.7,702.7,9431
2015-02-02 11:40:00,702.7,703.0,700.4,700.45,7608
2015-02-02 11:45:00,700.4,703.5,700.15,701.5,10860
2015-02-02 11:50:00,701.5,701.6,699.05,699.05,13073
2015-02-02 11:55:00,698.8,700.0,698.0,698.45,10958
2015-02-02 12:00:00,698.45,699.8,698.1,699.6,3434
2015-02-02 12:05:00,699.6,699.6,698.85,698.95,8402
2015-02-02 12:10:00,698.95,699.5,698.85,699.2,9927
2015-02-02 12:15:00,699.6,699.6,698.4,699.0,8642
2015-02-02 12:20:00,698.45,698.7,697.1,697.8,6031
2015-02-02 12:25:00,697.45,698.3,696.0,698.2,9847
2015-02-02 12:30:00,698.1,699.95,697.75,699.1,24138
2015-02-02 12:35:00,699.1,699.2,698.5,699.15,4994
2015-02-02 12:40:00,699.15,700.4,697.05,699.2,35029
2015-02-02 12:45:00,699.2,699.2,698.3,698.5,7454
2015-02-02 12:50:00,698.5,698.7,697.1,697.75,4377
2015-02-02 12:55:00,698.0,699.0,697.5,697.55,3655
2015-02-02 13:00:00,697.55,698.5,697.3,698.0,3951
2015-02-02 13:05:00,698.0,698.25,697.0,697.3,6591
2015-02-02 13:10:00,697.3,697.75,695.05,696.65,14023
2015-02-02 13:15:00,696.65,697.0,695.2,696.0,9185
2015-02-02 13:20:00,696.0,696.1,695.3,696.1,8254
2015-02-02 13:25:00,696.1,697.05,695.5,696.0,11726
2015-02-02 13:30:00,696.0,696.0,695.5,695.9,11437
2015-02-02 13:35:00,695.9,699.6,695.75,699.55,29535
2015-02-02 13:40:00,699.45,700.0,696.5,699.0,14551
2015-02-02 13:45:00,699.0,699.5,697.55,699.25,9447
2015-02-02 13:50:00,699.25,699.25,698.0,698.8,7943
2015-02-02 13:55:00,698.8,699.0,697.7,698.0,8618
2015-02-02 14:00:00,698.0,698.5,695.0,696.85,20219
2015-02-02 14:05:00,697.15,697.95,695.9,696.05,5786
2015-02-02 14:10:00,695.65,696.5,695.0,696.3,14390
2015-02-02 14:15:00,696.3,696.3,694.75,695.5,25628
2015-02-02 14:20:00,695.95,697.85,692.3,693.3,26323
2015-02-02 14:25:00,693.3,695.4,692.4,694.0,36019
2015-02-02 14:30:00,694.0,694.95,693.0,693.55,6636
2015-02-02 14:35:00,693.55,694.0,691.3,692.5,12369
2015-02-02 14:40:00,692.5,693.95,692.1,692.55,5379
2015-02-02 14:45:00,692.8,696.2,691.25,695.65,22713
2015-02-02 14:50:00,695.65,696.2,693.1,694.0,14626
2015-02-02 14:55:00,694.0,694.7,692.55,693.6,8474
2015-02-02 15:00:00,693.6,696.4,693.6,696.4,22781
2015-02-02 15:05:00,696.05,696.4,694.95,695.95,16541
2015-02-02 15:10:00,695.95,696.0,694.0,695.2,13548
2015-02-02 15:15:00,695.6,696.0,694.1,695.75,15544
2015-02-02 15:20:00,695.85,696.5,694.8,695.5,16587
2015-02-02 15:25:00,695.45,696.0,694.85,695.0,23167
2015-02-03 09:15:00,695.15,699.75,695.15,697.25,11961
2015-02-03 09:20:00,697.55,697.55,694.05,694.45,7799
2015-02-03 09:25:00,695.0,697.8,694.5,697.8,5593
2015-02-03 09:30:00,697.8,697.8,695.65,695.65,2911
2015-02-03 09:35:00,695.65,697.5,695.0,696.35,4607
2015-02-03 09:40:00,696.35,696.4,696.0,696.2,1987
2015-02-03 09:45:00,696.2,696.5,695.0,695.0,3914
2015-02-03 09:50:00,695.0,695.3,694.05,694.05,4120
2015-02-03 09:55:00,694.05,694.6,693.9,694.4,4922
2015-02-03 10:00:00,694.4,694.6,693.7,694.3,3717
2015-02-03 10:05:00,693.8,694.45,693.65,694.45,5917
2015-02-03 10:10:00,693.95,694.65,693.0,693.0,3370
2015-02-03 10:15:00,693.0,693.65,690.5,691.0,10511
2015-02-03 10:20:00,691.2,692.65,688.65,690.4,14869
2015-02-03 10:25:00,690.4,692.8,690.4,692.8,3935
2015-02-03 10:30:00,692.8,693.2,691.3,692.25,4017
2015-02-03 10:35:00,692.55,693.0,691.25,693.0,4515
2015-02-03 10:40:00,692.8,692.8,691.45,692.5,2802
2015-02-03 10:45:00,692.4,692.4,690.2,691.4,4530
2015-02-03 10:50:00,691.4,692.5,690.2,690.8,6313
2015-02-03 10:55:00,690.95,691.75,690.6,691.55,2568
2015-02-03 11:00:00,691.75,692.55,690.1,691.85,3931
2015-02-03 11:05:00,691.85,692.5,691.0,691.6,3028
2015-02-03 11:10:00,691.6,696.7,690.55,696.0,11093
2015-02-03 11:15:00,695.95,696.45,694.0,696.25,5094
2015-02-03 11:20:00,696.45,697.65,694.2,695.5,21594
