date,open,high,low,close,volume
2015-02-02 09:15:00,338.5,339.4,336.8,338.55,3150322
2015-02-02 09:20:00,338.5,338.85,336.0,336.3,1206774
2015-02-02 09:25:00,336.3,336.75,335.35,335.85,1022626
2015-02-02 09:30:00,335.9,336.35,335.65,336.25,683365
2015-02-02 09:35:00,336.1,336.3,334.8,335.15,625293
2015-02-02 09:40:00,335.15,336.0,334.95,335.7,1054974
2015-02-02 09:45:00,335.7,336.3,335.6,336.15,371327
2015-02-02 09:50:00,336.15,336.45,335.9,336.3,350517
2015-02-02 09:55:00,336.2,336.3,335.65,336.1,341561
2015-02-02 10:00:00,336.1,336.1,335.7,335.85,225781
2015-02-02 10:05:00,335.9,336.7,335.75,336.7,601743
2015-02-02 10:10:00,336.7,337.35,336.5,337.05,795896
2015-02-02 10:15:00,337.1,337.5,337.05,337.5,684610
2015-02-02 10:20:00,337.45,337.5,337.35,337.4,522400
2015-02-02 10:25:00,337.4,337.7,337.2,337.3,637878
2015-02-02 10:30:00,337.2,337.3,336.35,336.8,397380
2015-02-02 10:35:00,336.6,337.05,336.6,336.9,184095
2015-02-02 10:40:00,336.95,337.05,336.8,336.95,252596
2015-02-02 10:45:00,336.95,337.65,336.85,337.45,489516
2015-02-02 10:50:00,337.5,338.05,337.45,338.0,392153
2015-02-02 10:55:00,338.0,338.95,338.0,338.95,700260
2015-02-02 11:00:00,338.95,338.95,338.4,338.65,235653
2015-02-02 11:05:00,338.55,338.95,338.5,338.8,193213
2015-02-02 11:10:00,338.85,338.9,338.65,338.65,154845
2015-02-02 11:15:00,338.7,338.75,338.5,338.55,160368
2015-02-02 11:20:00,338.5,338.85,338.5,338.8,289257
2015-02-02 11:25:00,338.8,339.25,338.5,338.6,217992
2015-02-02 11:30:00,338.65,338.95,338.5,338.5,175076
2015-02-02 11:35:00,338.5,338.5,338.0,338.1,339030
2015-02-02 11:40:00,338.0,338.2,337.45,337.55,213270
2015-02-02 11:45:00,337.55,337.65,337.25,337.3,91106
2015-02-02 11:50:00,337.3,337.4,337.15,337.25,150874
2015-02-02 11:55:00,337.25,337.4,337.15,337.15,106445
2015-02-02 12:00:00,337.15,337.35,337.1,337.3,88556
2015-02-02 12:05:00,337.25,337.65,337.2,337.5,91599
2015-02-02 12:10:00,337.5,337.7,337.15,337.5,137252
2015-02-02 12:15:00,337.6,337.75,337.3,337.5,128701
2015-02-02 12:20:00,337.5,337.8,337.5,337.7,53744
2015-02-02 12:25:00,337.55,338.0,337.55,337.8,64665
2015-02-02 12:30:00,337.7,338.15,337.7,338.1,99127
2015-02-02 12:35:00,338.1,338.65,338.0,338.5,283425
2015-02-02 12:40:00,338.5,338.9,338.5,338.65,118792
2015-02-02 12:45:00,338.65,338.85,338.65,338.65,136045
2015-02-02 12:50:00,338.65,338.75,338.5,338.5,62773
2015-02-02 12:55:00,338.55,338.8,338.5,338.7,64722
2015-02-02 13:00:00,338.65,339.3,338.55,339.3,262664
