date,open,high,low,close,volume
2015-02-02 09:15:00,353.5,354.72,352.67,354.19,2559
2015-02-02 09:20:00,354.19,354.99,352.45,353.75,5760
2015-02-02 09:25:00,353.62,354.9,352.95,353.87,3270
2015-02-02 09:30:00,353.77,354.1,352.37,353.29,3006
2015-02-02 09:35:00,353.29,353.29,352.0,353.0,2001
2015-02-02 09:40:00,353.0,354.15,351.99,353.09,3039
2015-02-02 09:45:00,353.09,354.67,352.4,354.17,4026
2015-02-02 09:50:00,354.09,355.0,353.69,354.82,5298
2015-02-02 09:55:00,354.82,357.67,354.82,356.6,29679
2015-02-02 10:00:00,356.6,356.65,355.87,355.92,5964
2015-02-02 10:05:00,355.92,355.92,355.67,355.67,1884
2015-02-02 10:10:00,355.67,355.67,354.02,354.02,3072
2015-02-02 10:15:00,354.02,354.67,353.47,353.65,3474
2015-02-02 10:20:00,353.59,354.23,352.67,353.0,2916
2015-02-02 10:25:00,353.37,354.33,352.72,352.92,2664
2015-02-02 10:30:00,352.92,353.05,351.67,352.37,1080
2015-02-02 10:35:00,352.37,352.72,352.15,352.17,1089
2015-02-02 10:40:00,352.17,352.47,352.13,352.13,978
2015-02-02 10:45:00,352.4,352.49,352.13,352.22,1437
2015-02-02 10:50:00,352.22,352.67,352.13,352.37,2577
2015-02-02 10:55:00,352.37,352.43,352.13,352.22,1671
2015-02-02 11:00:00,352.22,352.69,352.17,352.29,990
2015-02-02 11:05:00,352.29,353.0,352.0,352.57,1287
2015-02-02 11:10:00,352.57,352.57,352.0,352.33,1149
2015-02-02 11:15:00,352.33,353.23,352.03,352.43,1233
2015-02-02 11:20:00,352.43,352.43,351.85,351.85,1344
2015-02-02 11:25:00,351.85,352.4,351.03,351.07,2229
2015-02-02 11:30:00,352.37,352.45,351.03,352.17,1092
2015-02-02 11:35:00,352.5,354.33,351.27,352.37,1995
2015-02-02 11:40:00,352.2,353.59,351.62,353.33,2229
2015-02-02 11:45:00,353.59,353.69,351.27,351.83,1650
