date,open,high,low,close,volume
2015-02-02 09:15:00,762.55,762.75,758.0,761.7,18773
2015-02-02 09:20:00,761.7,765.85,761.05,763.95,13985
2015-02-02 09:25:00,763.95,769.95,763.2,767.05,17786
2015-02-02 09:30:00,767.05,768.15,765.6,766.95,1973
2015-02-02 09:35:00,766.95,767.15,764.95,766.05,4277
2015-02-02 09:40:00,766.05,766.5,765.0,765.15,1200
2015-02-02 09:45:00,765.15,767.35,765.15,766.85,1746
2015-02-02 09:50:00,767.35,767.35,766.35,766.4,2168
2015-02-02 09:55:00,766.4,767.95,766.4,767.25,1435
2015-02-02 10:00:00,767.25,767.55,766.65,766.65,1103
2015-02-02 10:05:00,766.65,767.5,766.65,766.65,382
2015-02-02 10:10:00,766.65,767.35,766.4,766.8,1662
2015-02-02 10:15:00,766.8,767.25,766.2,767.05,387
2015-02-02 10:20:00,767.05,767.05,766.15,766.15,934
2015-02-02 10:25:00,766.15,767.15,766.15,766.4,603
2015-02-02 10:30:00,766.4,766.55,766.15,766.2,1942
2015-02-02 10:35:00,766.2,766.35,765.4,765.95,2997
2015-02-02 10:40:00,765.95,767.7,765.7,767.55,1967
2015-02-02 10:45:00,767.55,767.95,767.0,767.95,2550
2015-02-02 10:50:00,768.95,772.6,767.55,770.0,7434
2015-02-02 10:55:00,770.0,771.2,769.0,770.65,2289
2015-02-02 11:00:00,769.9,770.95,769.85,770.45,1381
2015-02-02 11:05:00,770.45,771.35,769.95,770.95,1260
2015-02-02 11:10:00,770.95,771.25,770.55,770.55,1250
2015-02-02 11:15:00,770.55,771.25,770.15,770.55,784
2015-02-02 11:20:00,770.55,770.7,769.65,769.65,643
2015-02-02 11:25:00,769.65,769.95,769.65,769.95,276
2015-02-02 11:30:00,769.95,770.5,769.35,770.5,984
2015-02-02 11:35:00,770.5,771.35,770.15,770.85,1150
2015-02-02 11:40:00,770.85,771.35,770.55,770.95,4634
2015-02-02 11:45:00,770.95,770.95,769.45,770.3,562
2015-02-02 11:50:00,770.3,770.3,768.45,768.45,2024
2015-02-02 11:55:00,768.45,768.95,765.25,766.3,3721
2015-02-02 12:00:00,766.3,766.35,765.75,766.25,2802
2015-02-02 12:05:00,766.25,766.55,765.45,766.15,522
2015-02-02 12:10:00,766.15,768.25,766.15,767.0,2147
2015-02-02 12:15:00,767.0,767.0,766.05,766.15,3163
2015-02-02 12:20:00,766.15,766.75,766.15,766.75,1427
2015-02-02 12:25:00,766.15,766.7,765.0,765.0,1230
2015-02-02 12:30:00,765.0,766.6,765.0,765.75,2104
2015-02-02 12:35:00,765.75,766.6,765.0,765.05,3540
2015-02-02 12:40:00,765.05,765.85,765.05,765.15,918
2015-02-02 12:45:00,765.15,765.55,764.95,765.5,1627
2015-02-02 12:50:00,765.5,765.5,764.95,764.95,1757
2015-02-02 12:55:00,764.95,765.7,764.95,765.0,2073
2015-02-02 13:00:00,765.0,765.55,763.95,764.25,4508
2015-02-02 13:05:00,764.0,764.25,762.1,762.1,3966
2015-02-02 13:10:00,762.05,762.05,760.25,760.6,6058
2015-02-02 13:15:00,760.6,761.75,760.0,760.6,4242
2015-02-02 13:20:00,760.6,760.95,760.4,760.4,1772
2015-02-02 13:25:00,760.4,761.75,760.4,761.3,2620
2015-02-02 13:30:00,761.3,764.7,761.2,764.55,5516
2015-02-02 13:35:00,764.7,766.15,762.95,766.1,22128
2015-02-02 13:40:00,766.1,768.3,764.95,764.95,12003
2015-02-02 13:45:00,764.95,764.95,763.4,764.75,3475
2015-02-02 13:50:00,764.1,764.1,761.55,762.95,4212
2015-02-02 13:55:00,762.95,763.55,762.95,763.15,3052
2015-02-02 14:00:00,763.15,765.55,762.55,764.95,4096
2015-02-02 14:05:00,764.95,765.85,763.95,764.7,3068
2015-02-02 14:10:00,764.7,764.95,764.15,764.95,3364
2015-02-02 14:15:00,764.9,765.8,763.25,763.25,5146
2015-02-02 14:20:00,763.25,765.35,763.0,763.95,4414
2015-02-02 14:25:00,763.95,764.55,763.8,763.95,3931
2015-02-02 14:30:00,763.95,764.2,760.3,760.6,5562
2015-02-02 14:35:00,760.6,761.55,760.4,761.55,3820
2015-02-02 14:40:00,761.0,762.35,760.85,761.6,2560
2015-02-02 14:45:00,761.15,761.75,760.6,760.95,2531
2015-02-02 14:50:00,760.95,761.0,760.25,760.8,2992
2015-02-02 14:55:00,760.8,760.8,760.0,760.0,2559
2015-02-02 15:00:00,760.0,761.0,760.0,760.2,3900
2015-02-02 15:05:00,760.2,760.95,758.4,760.0,10652
2015-02-02 15:10:00,760.0,760.0,759.0,759.0,5191
2015-02-02 15:15:00,759.0,759.0,757.6,758.0,16455
2015-02-02 15:20:00,758.4,758.6,757.8,757.8,9418
2015-02-02 15:25:00,757.8,758.2,757.0,757.0,13639
2015-02-03 09:15:00,761.95,765.15,757.0,765.15,10205
2015-02-03 09:20:00,765.15,765.55,762.95,763.4,6511
2015-02-03 09:25:00,763.35,763.55,761.5,762.15,2385
2015-02-03 09:30:00,762.15,763.7,761.55,762.55,3314
2015-02-03 09:35:00,762.55,769.9,762.55,769.55,9187
2015-02-03 09:40:00,769.9,770.7,768.45,769.85,7334
2015-02-03 09:45:00,769.85,770.55,769.35,769.9,3750
2015-02-03 09:50:00,769.9,770.5,769.4,769.95,2551
2015-02-03 09:55:00,769.95,769.95,768.15,768.15,4612
2015-02-03 10:00:00,768.15,768.85,766.95,767.35,4894
2015-02-03 10:05:00,767.35,772.5,767.35,772.5,10542
2015-02-03 10:10:00,771.85,772.55,770.95,772.0,12138
2015-02-03 10:15:00,772.0,772.5,771.35,771.95,3455
2015-02-03 10:20:00,771.95,775.6,771.95,774.1,16546
2015-02-03 10:25:00,774.1,774.65,773.35,773.8,4549
2015-02-03 10:30:00,772.95,773.65,772.95,773.5,3589
2015-02-03 10:35:00,773.0,773.7,772.95,773.5,2300
2015-02-03 10:40:00,773.35,773.7,773.0,773.5,2117
2015-02-03 10:45:00,773.5,773.5,773.15,773.15,1567
2015-02-03 10:50:00,773.15,773.35,773.15,773.15,842
2015-02-03 10:55:00,773.15,773.15,771.95,771.95,7157
2015-02-03 11:00:00,771.95,776.7,770.95,776.7,23684
2015-02-03 11:05:00,776.7,777.3,773.9,775.1,166680
2015-02-03 11:10:00,774.9,776.1,774.9,776.1,7992
2015-02-03 11:15:00,775.75,776.1,773.95,774.2,2474
2015-02-03 11:20:00,774.0,774.2,773.9,773.95,7284
2015-02-03 11:25:00,774.5,774.8,774.15,774.25,1231
2015-02-03 11:30:00,774.25,774.7,773.95,774.2,1098
2015-02-03 11:35:00,774.2,774.9,773.9,774.5,131887
2015-02-03 11:40:00,774.15,774.5,773.7,773.9,70274
2015-02-03 11:45:00,773.9,776.9,773.9,776.1,12062
2015-02-03 11:50:00,776.1,776.1,773.9,773.9,6135
