date,open,high,low,close,volume
2015-02-02 09:15:00,140.1,140.95,140.0,140.65,166431
2015-02-02 09:20:00,140.65,140.85,139.55,139.85,130280
2015-02-02 09:25:00,140.0,140.6,139.85,140.45,79993
2015-02-02 09:30:00,140.45,140.75,140.3,140.55,36933
2015-02-02 09:35:00,140.55,141.15,140.4,140.5,117594
2015-02-02 09:40:00,140.65,141.15,140.5,141.1,87472
2015-02-02 09:45:00,141.05,141.9,141.05,141.65,192506
2015-02-02 09:50:00,141.6,141.8,141.45,141.5,179722
2015-02-02 09:55:00,141.55,142.45,141.5,142.0,219875
2015-02-02 10:00:00,142.0,143.5,141.95,142.8,358416
2015-02-02 10:05:00,142.75,142.95,142.4,142.6,80935
2015-02-02 10:10:00,142.6,142.8,142.3,142.4,186901
2015-02-02 10:15:00,142.5,142.75,142.5,142.55,98095
2015-02-02 10:20:00,142.55,142.65,142.0,142.6,71356
2015-02-02 10:25:00,142.6,142.8,142.45,142.65,42375
2015-02-02 10:30:00,142.65,142.8,142.25,142.65,48521
2015-02-02 10:35:00,142.65,142.85,142.55,142.75,43474
2015-02-02 10:40:00,142.7,142.85,142.65,142.7,53666
2015-02-02 10:45:00,142.7,142.9,142.4,142.6,64714
2015-02-02 10:50:00,142.5,142.75,142.35,142.35,21042
2015-02-02 10:55:00,142.35,142.55,142.25,142.5,24520
2015-02-02 11:00:00,142.45,142.75,142.4,142.45,39478
2015-02-02 11:05:00,142.45,142.55,142.3,142.4,55868
2015-02-02 11:10:00,142.35,142.6,142.1,142.4,158906
2015-02-02 11:15:00,142.4,142.55,142.25,142.45,43272
2015-02-02 11:20:00,142.45,142.6,142.3,142.55,29934
2015-02-02 11:25:00,142.5,142.5,142.3,142.3,15022
2015-02-02 11:30:00,142.3,142.5,142.3,142.5,26916
2015-02-02 11:35:00,142.45,142.5,142.25,142.4,33067
2015-02-02 11:40:00,142.4,142.55,142.35,142.45,27518
2015-02-02 11:45:00,142.4,142.6,142.35,142.55,21474
2015-02-02 11:50:00,142.55,142.85,142.45,142.6,120258
2015-02-02 11:55:00,142.6,142.9,142.5,142.55,85384
2015-02-02 12:00:00,142.55,142.8,142.5,142.7,77524
2015-02-02 12:05:00,142.65,142.7,142.5,142.55,34881
2015-02-02 12:10:00,142.55,143.25,142.55,143.2,116718
2015-02-02 12:15:00,143.15,143.25,143.0,143.15,72623
2015-02-02 12:20:00,143.15,143.25,143.05,143.05,38556
2015-02-02 12:25:00,143.05,143.25,143.0,143.1,67336
2015-02-02 12:30:00,143.0,143.7,143.0,143.6,133849
2015-02-02 12:35:00,143.6,143.7,143.05,143.15,54891
2015-02-02 12:40:00,143.15,143.7,143.1,143.6,44249
2015-02-02 12:45:00,143.6,143.65,143.4,143.65,86003
2015-02-02 12:50:00,143.5,143.75,143.45,143.65,47855
2015-02-02 12:55:00,143.65,144.15,143.6,144.15,204883
2015-02-02 13:00:00,144.1,144.15,143.45,143.6,72428
2015-02-02 13:05:00,143.6,143.9,143.6,143.9,48842
2015-02-02 13:10:00,143.9,144.1,143.75,144.1,49411
2015-02-02 13:15:00,144.1,144.2,144.0,144.05,24732
2015-02-02 13:20:00,144.05,144.4,144.0,144.35,75098
2015-02-02 13:25:00,144.35,144.5,144.2,144.5,107140
2015-02-02 13:30:00,144.45,144.65,144.2,144.5,108082
2015-02-02 13:35:00,144.55,144.75,144.45,144.6,90687
2015-02-02 13:40:00,144.65,144.75,144.35,144.35,110862
2015-02-02 13:45:00,144.5,144.6,144.15,144.55,66603
