date,open,high,low,close,volume
2015-02-02 09:15:00,326.68,327.27,322.55,322.68,1471645
2015-02-02 09:20:00,323.18,323.18,320.64,321.23,880544
2015-02-02 09:25:00,321.27,322.73,320.82,322.64,367435
2015-02-02 09:30:00,322.64,322.95,321.55,321.68,443960
2015-02-02 09:35:00,321.86,322.73,321.36,321.41,405871
2015-02-02 09:40:00,321.41,322.36,320.95,322.14,288651
2015-02-02 09:45:00,322.14,322.23,321.32,321.73,307995
2015-02-02 09:50:00,321.91,322.59,321.41,322.55,354308
2015-02-02 09:55:00,322.55,323.0,322.18,322.82,329942
2015-02-02 10:00:00,322.82,322.86,322.09,322.5,156420
2015-02-02 10:05:00,322.36,322.64,321.64,321.77,208766
2015-02-02 10:10:00,321.77,322.77,321.59,322.05,194354
2015-02-02 10:15:00,322.0,322.27,321.64,321.64,210704
2015-02-02 10:20:00,321.64,322.05,321.05,321.14,382859
2015-02-02 10:25:00,321.14,321.36,320.41,321.09,520155
2015-02-02 10:30:00,321.05,321.36,320.36,321.0,190112
2015-02-02 10:35:00,321.09,321.68,320.95,321.55,103641
2015-02-02 10:40:00,321.55,322.5,321.41,322.18,212204
2015-02-02 10:45:00,322.32,323.45,321.68,322.27,422893
2015-02-02 10:50:00,322.23,322.45,321.55,321.64,210371
2015-02-02 10:55:00,321.64,322.09,321.55,321.73,127551
2015-02-02 11:00:00,321.68,322.0,321.36,321.68,219984
2015-02-02 11:05:00,321.64,321.82,321.36,321.5,245566
2015-02-02 11:10:00,321.5,321.91,321.18,321.23,263407
2015-02-02 11:15:00,321.23,321.41,320.91,321.09,221120
2015-02-02 11:20:00,321.05,321.68,320.68,321.09,269107
2015-02-02 11:25:00,321.09,321.09,320.45,320.68,221257
2015-02-02 11:30:00,320.68,321.14,320.36,320.91,303291
2015-02-02 11:35:00,320.91,321.36,320.5,320.5,270404
2015-02-02 11:40:00,320.5,320.91,320.09,320.59,217102
2015-02-02 11:45:00,320.5,320.77,320.32,320.55,183222
2015-02-02 11:50:00,320.45,320.95,320.27,320.59,224991
2015-02-02 11:55:00,320.59,320.91,320.23,320.41,212836
2015-02-02 12:00:00,320.41,320.55,319.73,320.0,328435
2015-02-02 12:05:00,320.0,320.0,319.77,319.86,207594
2015-02-02 12:10:00,319.86,320.18,319.55,319.77,271081
2015-02-02 12:15:00,319.91,319.95,319.09,319.18,207358
2015-02-02 12:20:00,319.23,319.55,318.55,319.0,1349459
2015-02-02 12:25:00,318.95,319.55,318.68,319.14,244161
2015-02-02 12:30:00,319.18,319.5,318.91,319.09,280503
2015-02-02 12:35:00,319.09,319.55,318.91,319.05,381459
2015-02-02 12:40:00,319.05,319.45,318.91,319.14,282389
2015-02-02 12:45:00,319.14,319.5,318.91,319.18,552048
2015-02-02 12:50:00,319.18,319.59,318.95,319.0,339248
2015-02-02 12:55:00,319.0,319.45,318.91,319.18,337870
2015-02-02 13:00:00,319.18,319.41,318.77,319.0,232036
2015-02-02 13:05:00,319.0,319.09,318.77,318.91,216102
2015-02-02 13:10:00,318.91,319.09,318.64,318.91,209335
2015-02-02 13:15:00,318.91,319.09,318.64,318.82,247236
2015-02-02 13:20:00,318.77,318.86,318.23,318.27,280693
2015-02-02 13:25:00,318.27,319.82,318.18,319.82,459478
2015-02-02 13:30:00,320.36,322.18,319.23,321.59,1049767
2015-02-02 13:35:00,321.45,325.5,321.45,323.64,1364972
2015-02-02 13:40:00,323.73,324.55,321.64,322.27,714666
2015-02-02 13:45:00,322.5,322.64,321.64,322.36,1560344
2015-02-02 13:50:00,322.36,322.59,321.45,322.09,445894
2015-02-02 13:55:00,322.09,322.45,321.55,321.64,479054
2015-02-02 14:00:00,321.64,323.36,321.5,323.36,458983
2015-02-02 14:05:00,323.23,323.45,322.09,322.68,587168
2015-02-02 14:10:00,322.64,322.68,321.5,322.36,505847
2015-02-02 14:15:00,322.36,322.41,321.09,321.36,468657
2015-02-02 14:20:00,321.32,322.0,320.27,320.36,459155
2015-02-02 14:25:00,320.32,321.41,319.59,320.14,405084
2015-02-02 14:30:00,320.14,320.95,319.32,319.32,434082
2015-02-02 14:35:00,319.18,319.91,318.91,319.82,477330
2015-02-02 14:40:00,319.77,320.0,319.09,319.27,457274
2015-02-02 14:45:00,319.18,319.5,318.86,319.18,469182
2015-02-02 14:50:00,319.0,319.59,318.86,319.09,551552
