date,open,high,low,close,volume
2017-09-27 09:40:00,651.1,651.1,651.1,651.1,3186759
2017-09-27 09:45:00,651.1,651.1,651.1,651.1,0
2017-09-27 09:50:00,651.1,651.1,651.1,651.1,0
2017-09-27 09:55:00,651.1,651.1,651.1,651.1,0
2017-09-27 10:00:00,651.0,655.8,638.9,650.6,3741234
2017-09-27 10:05:00,650.6,656.5,650.6,655.0,1543402
2017-09-27 10:10:00,655.0,660.6,655.0,657.2,2129869
2017-09-27 10:15:00,657.1,663.5,657.1,662.0,1998089
2017-09-27 10:20:00,662.15,663.65,659.45,661.25,868057
2017-09-27 10:25:00,661.5,663.4,661.05,662.15,410330
2017-09-27 10:30:00,662.15,664.8,662.0,663.5,717176
2017-09-27 10:35:00,663.5,665.0,663.25,663.6,599894
2017-09-27 10:40:00,663.85,665.5,661.0,662.95,922652
2017-09-27 10:45:00,662.8,667.7,662.15,667.45,771656
2017-09-27 10:50:00,667.5,672.3,666.85,670.35,1659322
2017-09-27 10:55:00,670.25,679.45,670.25,679.1,1670826
2017-09-27 11:00:00,679.2,688.05,678.0,687.25,2224787
2017-09-27 11:05:00,687.8,693.65,686.6,687.3,1845878
2017-09-27 11:10:00,687.2,688.25,672.55,673.9,1162864
2017-09-27 11:15:00,673.9,676.35,671.3,675.6,550917
2017-09-27 11:20:00,675.7,679.25,675.6,676.4,339327
2017-09-27 11:25:00,676.1,677.35,672.35,676.95,222530
2017-09-27 11:30:00,676.65,680.5,676.0,678.9,315920
2017-09-27 11:35:00,678.9,681.0,678.4,679.8,211366
2017-09-27 11:40:00,679.8,679.95,677.0,678.6,147801
2017-09-27 11:45:00,678.55,678.9,677.1,677.4,128523
2017-09-27 11:50:00,677.4,677.4,676.4,676.5,104432
2017-09-27 11:55:00,676.55,679.65,676.4,678.75,95722
2017-09-27 12:00:00,678.75,680.65,678.4,679.9,203652
2017-09-27 12:05:00,679.6,682.4,678.6,679.95,213408
2017-09-27 12:10:00,679.95,680.0,679.25,679.6,59371
2017-09-27 12:15:00,679.6,680.7,678.0,680.05,103364
