date,open,high,low,close,volume
2016-09-29 09:40:00,330.0,330.0,330.0,330.0,8089969
2016-09-29 09:45:00,330.0,330.0,330.0,330.0,0
2016-09-29 09:50:00,330.0,330.0,330.0,330.0,0
2016-09-29 09:55:00,330.0,330.0,330.0,330.0,0
2016-09-29 10:00:00,328.5,333.6,328.4,330.5,8530628
2016-09-29 10:05:00,330.45,330.45,320.65,322.5,4388393
2016-09-29 10:10:00,322.7,323.55,315.5,316.65,4889093
2016-09-29 10:15:00,316.8,320.5,315.55,320.35,3213416
2016-09-29 10:20:00,320.65,325.15,320.5,324.05,3256239
2016-09-29 10:25:00,324.3,324.4,320.35,320.35,994852
2016-09-29 10:30:00,320.5,323.8,320.2,323.8,699070
2016-09-29 10:35:00,323.65,324.65,323.1,323.25,596833
2016-09-29 10:40:00,323.2,323.45,321.05,321.05,527071
2016-09-29 10:45:00,321.0,321.0,320.0,320.0,660479
2016-09-29 10:50:00,320.1,320.55,317.3,318.0,1149754
2016-09-29 10:55:00,317.85,318.9,316.6,316.75,916123
2016-09-29 11:00:00,316.95,316.95,313.7,314.45,1708650
2016-09-29 11:05:00,314.55,317.4,314.55,317.35,1192882
2016-09-29 11:10:00,317.4,317.95,316.5,316.6,456382
2016-09-29 11:15:00,316.5,317.2,313.9,313.95,641845
2016-09-29 11:20:00,313.8,314.4,310.6,311.35,1797585
2016-09-29 11:25:00,311.4,313.9,310.65,313.5,979481
2016-09-29 11:30:00,313.5,313.9,310.9,312.2,1035991
2016-09-29 11:35:00,312.25,312.25,310.0,310.15,1274922
2016-09-29 11:40:00,310.3,311.85,310.0,311.3,1025677
2016-09-29 11:45:00,311.35,311.95,311.2,311.7,494829
2016-09-29 11:50:00,311.75,312.25,310.4,312.0,1391067
2016-09-29 11:55:00,312.0,312.1,310.6,310.75,568692
2016-09-29 12:00:00,310.75,310.8,308.8,309.3,1776612
2016-09-29 12:05:00,309.25,309.5,307.2,307.8,1564671
2016-09-29 12:10:00,307.8,308.0,305.75,306.0,1147813
2016-09-29 12:15:00,305.8,306.9,305.5,306.0,1873092
2016-09-29 12:20:00,306.1,308.0,305.55,306.0,1093869
2016-09-29 12:25:00,305.85,306.75,305.5,305.9,848539
2016-09-29 12:30:00,305.85,306.5,303.7,303.9,1633816
2016-09-29 12:35:00,304.0,304.5,297.25,304.5,2877043
2016-09-29 12:40:00,304.5,305.4,301.55,302.0,1300671
2016-09-29 12:45:00,302.0,304.8,300.0,303.1,1192778
2016-09-29 12:50:00,303.2,304.6,301.3,301.7,983580
2016-09-29 12:55:00,301.45,302.5,300.0,301.5,689382
2016-09-29 13:00:00,301.3,303.6,300.0,302.7,906187
2016-09-29 13:05:00,302.7,305.8,302.7,305.8,1510301
2016-09-29 13:10:00,305.85,307.0,305.0,306.3,838533
2016-09-29 13:15:00,306.0,306.55,305.0,306.55,512098
2016-09-29 13:20:00,306.75,306.9,305.0,305.8,445042
2016-09-29 13:25:00,305.65,307.0,305.65,306.6,295921
2016-09-29 13:30:00,306.55,307.95,306.55,307.7,1144229
2016-09-29 13:35:00,307.65,307.95,306.45,307.5,222780
2016-09-29 13:40:00,307.5,307.5,305.35,305.9,444345
2016-09-29 13:45:00,306.0,306.0,305.15,305.6,401305
2016-09-29 13:50:00,305.6,306.0,305.0,305.6,389249
2016-09-29 13:55:00,305.7,306.45,305.0,306.0,331692
2016-09-29 14:00:00,305.9,306.75,305.0,305.25,331099
2016-09-29 14:05:00,305.5,305.95,304.35,304.35,555873
2016-09-29 14:10:00,304.5,305.25,302.0,302.2,846525
2016-09-29 14:15:00,302.5,302.5,300.2,300.85,771843
2016-09-29 14:20:00,300.8,301.9,300.05,301.25,676231
2016-09-29 14:25:00,301.4,301.4,300.0,300.6,965165
2016-09-29 14:30:00,300.6,300.8,300.0,300.45,382221
2016-09-29 14:35:00,300.5,300.85,300.15,300.75,530400
2016-09-29 14:40:00,300.75,301.0,300.5,300.65,604240
2016-09-29 14:45:00,300.65,300.75,298.55,298.55,1217911
2016-09-29 14:50:00,298.65,300.5,296.8,297.3,911345
2016-09-29 14:55:00,297.3,297.5,295.2,297.45,784518
2016-09-29 15:00:00,297.45,299.7,296.95,299.25,709024
2016-09-29 15:05:00,299.45,300.85,297.85,298.5,953760
2016-09-29 15:10:00,298.4,298.65,295.5,296.35,805349
2016-09-29 15:15:00,296.35,297.7,295.85,297.0,1151986
2016-09-29 15:20:00,296.95,298.7,296.65,297.0,956641
2016-09-29 15:25:00,296.95,297.8,295.75,295.75,977285
2016-09-30 09:15:00,297.4,300.3,297.4,299.3,422875
2016-09-30 09:20:00,299.3,299.45,293.3,297.2,507233
2016-09-30 09:25:00,297.45,297.9,296.2,296.95,279009
2016-09-30 09:30:00,296.85,299.9,296.6,299.8,330122
2016-09-30 09:35:00,299.8,301.55,299.5,300.8,481293
2016-09-30 09:40:00,300.8,302.1,300.7,301.2,315665
2016-09-30 09:45:00,301.2,302.7,301.2,301.6,141637
2016-09-30 09:50:00,301.6,302.4,300.2,300.3,191264
2016-09-30 09:55:00,300.45,300.75,299.5,299.9,133941
2016-09-30 10:00:00,300.0,301.0,299.7,301.0,104761
2016-09-30 10:05:00,300.7,302.45,300.55,302.35,182861
2016-09-30 10:10:00,302.35,304.6,302.35,304.6,510885
2016-09-30 10:15:00,304.6,304.75,304.0,304.7,265883
2016-09-30 10:20:00,304.7,305.4,303.7,303.7,243092
2016-09-30 10:25:00,303.7,304.85,303.3,304.75,122946
2016-09-30 10:30:00,304.8,305.3,303.55,304.2,115454
2016-09-30 10:35:00,304.2,304.5,303.9,304.4,60482
2016-09-30 10:40:00,304.5,305.0,304.4,304.9,95258
2016-09-30 10:45:00,304.9,304.95,303.2,303.3,161454
2016-09-30 10:50:00,303.3,303.85,302.25,303.65,120335
2016-09-30 10:55:00,303.75,304.0,303.5,304.0,46296
2016-09-30 11:00:00,304.0,304.6,303.85,304.4,64572
2016-09-30 11:05:00,304.4,307.3,304.4,307.1,439618
2016-09-30 11:10:00,307.0,308.9,306.3,308.5,454458
2016-09-30 11:15:00,308.5,308.75,307.1,307.25,157547
2016-09-30 11:20:00,307.1,307.9,306.5,307.7,126643
2016-09-30 11:25:00,307.75,308.4,306.8,308.2,258503
2016-09-30 11:30:00,307.75,308.65,307.75,307.75,210633
2016-09-30 11:35:00,307.7,307.8,306.75,307.55,93754
2016-09-30 11:40:00,307.55,307.9,306.85,306.85,61890
2016-09-30 11:45:00,306.85,307.4,306.8,307.05,55227
2016-09-30 11:50:00,307.05,308.3,307.0,308.05,83434
2016-09-30 11:55:00,308.1,308.25,307.6,308.2,68377
2016-09-30 12:00:00,308.2,308.2,307.9,308.1,99132
2016-09-30 12:05:00,308.1,308.2,308.0,308.1,62805
2016-09-30 12:10:00,308.1,308.1,306.6,306.9,142197
2016-09-30 12:15:00,306.95,307.0,306.85,306.95,49005
2016-09-30 12:20:00,306.95,307.8,306.85,307.65,59603
2016-09-30 12:25:00,307.65,308.5,307.65,307.8,100659
2016-09-30 12:30:00,307.8,308.15,307.65,308.15,104867
2016-09-30 12:35:00,308.0,308.8,307.9,308.0,266234
2016-09-30 12:40:00,308.15,308.2,307.65,307.85,156279
2016-09-30 12:45:00,307.9,308.75,307.1,307.35,127015
2016-09-30 12:50:00,307.4,307.5,306.35,306.4,83042
2016-09-30 12:55:00,306.4,307.65,306.3,307.45,59702
2016-09-30 13:00:00,307.35,307.7,306.95,307.0,51135
2016-09-30 13:05:00,307.0,307.0,305.0,306.75,165862
2016-09-30 13:10:00,306.95,307.0,306.4,306.9,63434
2016-09-30 13:15:00,306.9,307.4,306.8,307.05,60718
2016-09-30 13:20:00,307.0,307.5,306.8,307.4,44942
2016-09-30 13:25:00,307.4,307.5,307.2,307.45,33233
2016-09-30 13:30:00,307.45,307.5,306.8,307.5,44280
2016-09-30 13:35:00,307.5,307.95,307.25,307.9,63741
2016-09-30 13:40:00,307.9,308.9,307.7,308.9,126337
2016-09-30 13:45:00,309.0,309.55,307.6,308.65,283451
2016-09-30 13:50:00,308.75,309.7,308.7,309.45,123930
2016-09-30 13:55:00,309.45,309.65,308.7,308.8,83146
2016-09-30 14:00:00,308.85,309.0,308.7,308.85,40745
2016-09-30 14:05:00,308.85,309.7,308.75,309.3,74749
2016-09-30 14:10:00,309.35,309.7,309.3,309.3,58681
2016-09-30 14:15:00,309.3,309.65,309.1,309.5,52878
2016-09-30 14:20:00,309.6,309.65,308.8,308.85,64170
2016-09-30 14:25:00,308.85,309.25,307.95,309.1,117429
2016-09-30 14:30:00,309.15,309.9,309.1,309.25,96456
2016-09-30 14:35:00,309.3,309.95,309.1,309.25,78365
2016-09-30 14:40:00,309.25,309.65,309.0,309.6,57073
2016-09-30 14:45:00,309.6,310.0,309.3,309.75,205874
2016-09-30 14:50:00,309.7,310.95,309.5,310.45,217379
2016-09-30 14:55:00,310.45,310.65,310.1,310.6,67092
2016-09-30 15:00:00,310.5,312.35,310.5,311.6,493830
2016-09-30 15:05:00,311.75,311.85,309.6,309.7,193448
2016-09-30 15:10:00,309.6,309.85,308.6,308.6,154145
2016-09-30 15:15:00,308.55,309.5,308.0,309.25,189732
2016-09-30 15:20:00,309.3,309.9,309.25,309.65,134799
2016-09-30 15:25:00,309.65,309.75,309.15,309.3,283010
2016-10-03 09:15:00,312.9,313.65,311.5,311.5,239048
2016-10-03 09:20:00,311.05,312.0,311.05,311.65,85081
2016-10-03 09:25:00,311.65,311.8,311.1,311.4,85421
