date,open,high,low,close,volume
2015-02-02 09:15:00,211.6,212.75,211.45,212.5,405275
2015-02-02 09:20:00,212.5,212.65,212.0,212.1,174750
2015-02-02 09:25:00,212.1,212.15,211.7,211.75,138868
2015-02-02 09:30:00,211.75,211.8,211.25,211.8,97783
2015-02-02 09:35:00,211.8,212.15,210.65,210.65,151924
2015-02-02 09:40:00,210.65,210.95,210.45,210.8,105297
2015-02-02 09:45:00,210.8,211.0,210.25,210.7,78402
2015-02-02 09:50:00,210.7,211.25,210.35,211.05,113282
2015-02-02 09:55:00,211.0,211.15,210.65,210.8,77703
2015-02-02 10:00:00,210.85,211.2,210.75,211.0,37084
2015-02-02 10:05:00,211.0,211.2,210.65,211.1,43847
2015-02-02 10:10:00,211.1,211.1,210.65,210.8,57815
2015-02-02 10:15:00,210.8,210.9,210.6,210.9,46331
2015-02-02 10:20:00,210.8,210.85,210.55,210.6,43568
2015-02-02 10:25:00,210.6,210.7,210.5,210.65,26596
2015-02-02 10:30:00,210.65,210.65,210.3,210.35,50067
2015-02-02 10:35:00,210.35,210.35,209.9,209.95,72203
2015-02-02 10:40:00,209.95,210.15,209.7,209.95,172355
2015-02-02 10:45:00,209.95,210.35,209.8,210.15,102916
2015-02-02 10:50:00,210.15,210.15,209.9,209.95,47059
2015-02-02 10:55:00,209.95,210.05,209.65,209.9,39131
2015-02-02 11:00:00,209.9,209.95,209.8,209.9,25609
2015-02-02 11:05:00,209.9,210.05,209.9,209.95,33202
2015-02-02 11:10:00,209.95,210.1,209.7,209.85,39806
2015-02-02 11:15:00,209.85,209.85,209.65,209.7,21530
2015-02-02 11:20:00,209.7,209.8,209.65,209.75,23576
2015-02-02 11:25:00,209.75,209.9,209.5,209.7,98578
2015-02-02 11:30:00,209.65,209.65,209.35,209.5,82838
2015-02-02 11:35:00,209.4,209.7,209.35,209.35,47594
2015-02-02 11:40:00,209.35,209.35,208.5,208.65,163889
2015-02-02 11:45:00,208.65,208.75,208.55,208.6,52207
2015-02-02 11:50:00,208.7,208.8,208.6,208.75,47364
2015-02-02 11:55:00,208.75,209.2,208.75,208.85,71473
2015-02-02 12:00:00,208.85,208.95,208.6,208.8,51566
2015-02-02 12:05:00,208.8,208.8,208.55,208.65,36498
2015-02-02 12:10:00,208.55,209.2,208.5,209.1,82078
2015-02-02 12:15:00,209.1,209.1,208.65,208.75,131346
2015-02-02 12:20:00,208.85,208.85,207.75,208.1,248232
2015-02-02 12:25:00,207.9,208.4,207.75,208.05,191467
2015-02-02 12:30:00,208.05,208.75,208.0,208.55,119492
2015-02-02 12:35:00,208.55,208.85,208.05,208.1,170438
2015-02-02 12:40:00,208.05,208.4,208.0,208.1,160673
2015-02-02 12:45:00,208.15,208.25,208.0,208.05,126142
2015-02-02 12:50:00,208.0,208.05,207.75,207.9,81006
2015-02-02 12:55:00,207.9,208.1,207.85,207.9,92149
2015-02-02 13:00:00,207.9,208.85,207.9,208.8,112272
2015-02-02 13:05:00,208.75,209.15,208.15,208.25,148949
2015-02-02 13:10:00,208.2,208.6,208.2,208.5,74763
2015-02-02 13:15:00,208.4,208.6,208.1,208.2,93838
2015-02-02 13:20:00,208.25,208.4,208.0,208.25,93932
2015-02-02 13:25:00,208.4,208.4,207.95,208.4,233275
2015-02-02 13:30:00,208.2,208.65,208.0,208.15,236943
2015-02-02 13:35:00,208.15,209.6,208.1,209.3,588024
2015-02-02 13:40:00,209.2,209.3,208.65,209.15,327079
2015-02-02 13:45:00,209.2,209.6,208.75,209.4,210462
2015-02-02 13:50:00,209.3,209.3,208.25,208.65,194622
2015-02-02 13:55:00,208.65,208.65,208.1,208.2,154275
2015-02-02 14:00:00,208.15,208.95,208.15,208.8,119014
2015-02-02 14:05:00,208.8,209.05,208.2,208.25,129948
2015-02-02 14:10:00,208.25,208.6,208.15,208.6,106421
2015-02-02 14:15:00,208.6,208.75,208.3,208.4,132407
2015-02-02 14:20:00,208.4,208.75,208.3,208.6,185137
2015-02-02 14:25:00,208.55,208.75,208.25,208.25,140636
2015-02-02 14:30:00,208.25,208.45,208.15,208.15,74219
2015-02-02 14:35:00,208.15,208.55,208.05,208.1,202259
2015-02-02 14:40:00,208.1,208.55,208.0,208.1,128041
2015-02-02 14:45:00,208.15,208.15,207.9,207.9,83129
2015-02-02 14:50:00,207.9,208.0,207.75,207.75,128687
2015-02-02 14:55:00,207.75,207.85,207.6,207.7,175496
2015-02-02 15:00:00,207.7,208.2,207.7,208.05,248821
2015-02-02 15:05:00,208.0,208.15,207.85,208.05,244173
2015-02-02 15:10:00,208.05,208.1,207.9,208.0,225968
2015-02-02 15:15:00,208.0,208.05,207.25,207.8,349240
2015-02-02 15:20:00,207.8,208.15,207.7,208.1,210204
2015-02-02 15:25:00,208.1,208.45,207.65,208.05,171589
2015-02-03 09:15:00,208.55,209.75,208.55,209.2,320377
2015-02-03 09:20:00,209.2,209.85,209.2,209.8,249871
2015-02-03 09:25:00,209.7,209.9,209.55,209.85,160189
2015-02-03 09:30:00,209.85,210.15,209.8,210.0,131360
2015-02-03 09:35:00,210.0,210.0,209.75,209.8,93783
2015-02-03 09:40:00,209.8,209.9,209.7,209.75,68393
2015-02-03 09:45:00,209.75,209.9,209.7,209.75,77081
2015-02-03 09:50:00,209.75,209.85,209.7,209.7,72465
2015-02-03 09:55:00,209.7,209.9,209.65,209.8,64414
2015-02-03 10:00:00,209.8,210.15,209.75,210.05,77870
2015-02-03 10:05:00,210.05,210.3,210.0,210.3,79274
2015-02-03 10:10:00,210.3,210.35,209.95,210.05,56837
2015-02-03 10:15:00,210.05,210.15,209.8,210.1,77516
2015-02-03 10:20:00,210.15,210.35,209.95,210.1,63064
2015-02-03 10:25:00,210.1,210.25,210.0,210.1,44037
2015-02-03 10:30:00,210.1,210.3,210.0,210.3,43130
2015-02-03 10:35:00,210.3,210.35,210.0,210.15,43150
2015-02-03 10:40:00,210.1,210.15,209.95,210.15,43516
2015-02-03 10:45:00,210.15,210.35,210.0,210.3,79670
2015-02-03 10:50:00,210.35,210.35,210.1,210.15,52817
2015-02-03 10:55:00,210.15,210.6,210.15,210.6,116469
2015-02-03 11:00:00,210.65,210.85,209.7,209.85,176207
2015-02-03 11:05:00,209.8,210.2,209.45,209.95,88655
2015-02-03 11:10:00,209.95,211.05,209.65,210.8,1035741
2015-02-03 11:15:00,210.85,210.9,210.4,210.8,55472
2015-02-03 11:20:00,210.8,210.9,210.25,210.9,78362
2015-02-03 11:25:00,211.05,211.05,210.75,210.95,71658
2015-02-03 11:30:00,210.9,210.9,210.5,210.5,82822
2015-02-03 11:35:00,210.5,210.5,210.2,210.45,71141
2015-02-03 11:40:00,210.4,210.45,210.15,210.25,74296
2015-02-03 11:45:00,210.25,210.3,209.65,209.75,62795
2015-02-03 11:50:00,209.75,210.15,209.0,209.5,117842
2015-02-03 11:55:00,209.6,209.6,208.9,208.95,85866
2015-02-03 12:00:00,208.9,208.95,208.75,208.85,94003
2015-02-03 12:05:00,208.9,209.15,208.6,209.05,38952
2015-02-03 12:10:00,209.05,209.45,209.0,209.2,52475
2015-02-03 12:15:00,209.2,209.65,209.05,209.5,91316
2015-02-03 12:20:00,209.55,209.8,209.4,209.75,120174
2015-02-03 12:25:00,209.8,210.3,209.75,210.25,81320
2015-02-03 12:30:00,210.3,210.45,210.1,210.45,74223
2015-02-03 12:35:00,210.45,210.45,209.5,210.25,65910
2015-02-03 12:40:00,210.25,210.45,209.9,210.45,60791
2015-02-03 12:45:00,210.45,210.45,210.1,210.15,93856
2015-02-03 12:50:00,210.1,210.45,209.8,210.3,62450
2015-02-03 12:55:00,210.45,210.45,210.0,210.1,28663
2015-02-03 13:00:00,210.1,210.3,209.75,210.1,61179
2015-02-03 13:05:00,210.1,210.25,209.8,209.85,26930
2015-02-03 13:10:00,209.85,209.9,209.35,209.55,37533
2015-02-03 13:15:00,209.55,209.8,209.5,209.7,62781
2015-02-03 13:20:00,209.7,209.85,209.65,209.7,23940
2015-02-03 13:25:00,209.7,209.9,209.55,209.8,37375
2015-02-03 13:30:00,209.8,209.85,209.5,209.85,39318
2015-02-03 13:35:00,209.75,210.1,209.65,209.7,31743
2015-02-03 13:40:00,209.7,210.3,209.55,210.25,44043
2015-02-03 13:45:00,210.25,210.45,210.1,210.45,55060
2015-02-03 13:50:00,210.45,211.05,210.35,210.9,172910
2015-02-03 13:55:00,210.9,211.3,210.65,210.85,109055
2015-02-03 14:00:00,210.85,211.2,210.85,211.15,42436
2015-02-03 14:05:00,211.2,211.6,210.9,210.95,96803
2015-02-03 14:10:00,210.9,210.9,210.45,210.45,112835
2015-02-03 14:15:00,210.45,210.9,210.45,210.7,45303
2015-02-03 14:20:00,210.7,210.9,210.6,210.8,41063
2015-02-03 14:25:00,210.9,211.0,210.65,210.85,35795
2015-02-03 14:30:00,210.9,211.0,210.65,210.95,36223
2015-02-03 14:35:00,210.9,211.0,210.4,210.65,72847
2015-02-03 14:40:00,210.65,211.0,210.4,210.75,107541
2015-02-03 14:45:00,210.75,211.25,210.7,211.25,47218
2015-02-03 14:50:00,211.25,211.45,211.15,211.2,60087
2015-02-03 14:55:00,211.2,211.45,211.1,211.25,37316
2015-02-03 15:00:00,211.25,211.55,211.2,211.55,131755
2015-02-03 15:05:00,211.55,211.6,211.3,211.4,121732
2015-02-03 15:10:00,211.45,211.6,210.8,211.05,142712
2015-02-03 15:15:00,211.05,211.25,210.85,210.9,150974
2015-02-03 15:20:00,210.9,211.2,210.7,210.9,172546
2015-02-03 15:25:00,210.85,211.05,210.45,210.85,232924
2015-02-04 09:15:00,211.65,213.6,211.55,212.6,582569
