date,open,high,low,close,volume
2015-02-02 09:15:00,98.19,99.4,98.13,98.5,162620
2015-02-02 09:20:00,98.5,98.6,98.41,98.52,124580
2015-02-02 09:25:00,98.52,98.96,98.5,98.88,61520
2015-02-02 09:30:00,98.88,99.29,98.8,99.0,83100
2015-02-02 09:35:00,99.0,99.2,98.77,98.86,61010
2015-02-02 09:40:00,98.86,99.04,98.8,98.86,49040
2015-02-02 09:45:00,98.86,99.09,98.8,99.05,36000
2015-02-02 09:50:00,99.05,99.23,98.93,99.02,28990
2015-02-02 09:55:00,99.02,99.25,98.83,99.25,59090
2015-02-02 10:00:00,99.25,99.7,99.25,99.5,143320
2015-02-02 10:05:00,99.5,99.59,99.43,99.53,106550
2015-02-02 10:10:00,99.53,99.6,99.5,99.5,59880
2015-02-02 10:15:00,99.52,99.86,99.5,99.78,85060
2015-02-02 10:20:00,99.78,100.0,99.65,100.0,130680
2015-02-02 10:25:00,100.1,100.94,100.04,100.71,329490
2015-02-02 10:30:00,100.61,100.87,100.5,100.52,163550
2015-02-02 10:35:00,100.52,100.6,100.31,100.43,113650
2015-02-02 10:40:00,100.43,100.47,100.2,100.29,53570
2015-02-02 10:45:00,100.29,100.45,100.18,100.27,39930
2015-02-02 10:50:00,100.27,100.34,100.0,100.01,98830
2015-02-02 10:55:00,100.01,100.01,99.4,99.57,303290
2015-02-02 11:00:00,99.59,99.88,99.59,99.75,49810
2015-02-02 11:05:00,99.75,99.97,99.74,99.85,27630
2015-02-02 11:10:00,99.85,99.9,99.57,99.63,30280
2015-02-02 11:15:00,99.63,99.89,99.63,99.8,37380
2015-02-02 11:20:00,99.8,99.93,99.64,99.85,44390
2015-02-02 11:25:00,99.85,99.9,99.73,99.73,8100
2015-02-02 11:30:00,99.75,99.76,99.6,99.64,21130
2015-02-02 11:35:00,99.64,99.68,99.5,99.62,41120
2015-02-02 11:40:00,99.62,99.67,99.5,99.52,24160
2015-02-02 11:45:00,99.52,99.57,99.51,99.51,6000
2015-02-02 11:50:00,99.51,99.54,99.5,99.54,16840
2015-02-02 11:55:00,99.54,99.54,99.4,99.4,51100
2015-02-02 12:00:00,99.38,99.5,99.3,99.5,47210
2015-02-02 12:05:00,99.6,99.97,99.6,99.82,185360
2015-02-02 12:10:00,99.82,99.84,99.75,99.8,18410
2015-02-02 12:15:00,99.8,99.99,99.8,99.95,15800
2015-02-02 12:20:00,99.95,100.11,99.81,99.88,32590
2015-02-02 12:25:00,99.88,99.94,99.76,99.82,24530
2015-02-02 12:30:00,99.82,100.06,99.78,99.95,31850
2015-02-02 12:35:00,99.95,100.25,99.83,100.1,93390
2015-02-02 12:40:00,100.0,100.0,99.32,99.56,218140
2015-02-02 12:45:00,99.56,99.63,99.44,99.59,24310
2015-02-02 12:50:00,99.63,99.68,99.44,99.44,15670
2015-02-02 12:55:00,99.47,99.48,99.35,99.39,48060
2015-02-02 13:00:00,99.39,99.4,99.31,99.32,13180
2015-02-02 13:05:00,99.32,99.43,99.32,99.36,19820
2015-02-02 13:10:00,99.36,99.4,99.3,99.3,13160
2015-02-02 13:15:00,99.33,99.38,99.23,99.25,25660
2015-02-02 13:20:00,99.23,99.36,99.22,99.34,12100
2015-02-02 13:25:00,99.34,100.0,99.3,99.92,58030
2015-02-02 13:30:00,99.92,100.0,99.61,99.62,54810
2015-02-02 13:35:00,99.62,100.11,99.62,99.88,66830
2015-02-02 13:40:00,99.82,100.01,99.52,99.7,87280
2015-02-02 13:45:00,99.75,99.87,99.54,99.6,27460
2015-02-02 13:50:00,99.6,99.75,99.5,99.71,72190
2015-02-02 13:55:00,99.63,99.72,99.52,99.59,11910
2015-02-02 14:00:00,99.59,99.75,99.59,99.61,16540
2015-02-02 14:05:00,99.61,99.65,99.52,99.53,17790
2015-02-02 14:10:00,99.57,99.68,99.5,99.68,31880
2015-02-02 14:15:00,99.63,99.68,99.5,99.56,18290
2015-02-02 14:20:00,99.53,99.7,99.5,99.55,33790
2015-02-02 14:25:00,99.52,99.7,99.5,99.51,32680
2015-02-02 14:30:00,99.51,99.54,99.5,99.5,55540
2015-02-02 14:35:00,99.51,99.62,99.4,99.53,134830
2015-02-02 14:40:00,99.56,99.6,99.46,99.56,10530
2015-02-02 14:45:00,99.52,99.6,99.45,99.6,19310
2015-02-02 14:50:00,99.6,99.87,99.5,99.8,33480
2015-02-02 14:55:00,99.8,100.0,99.59,99.9,67480
2015-02-02 15:00:00,99.9,100.0,99.84,99.97,36780
2015-02-02 15:05:00,99.97,100.0,99.82,99.82,32750
2015-02-02 15:10:00,99.82,99.88,99.5,99.63,190980
2015-02-02 15:15:00,99.63,99.88,99.52,99.87,137080
2015-02-02 15:20:00,99.87,99.99,99.69,99.7,96100
2015-02-02 15:25:00,99.7,99.89,99.5,99.89,122910
2015-02-03 09:15:00,100.0,100.17,99.55,99.71,103890
2015-02-03 09:20:00,99.7,99.8,99.46,99.5,162920
2015-02-03 09:25:00,99.5,99.7,99.44,99.44,82220
2015-02-03 09:30:00,99.43,99.58,99.21,99.22,75860
2015-02-03 09:35:00,99.22,99.6,99.21,99.55,103310
2015-02-03 09:40:00,99.56,99.58,99.22,99.22,38550
2015-02-03 09:45:00,99.24,99.4,99.04,99.19,48190
2015-02-03 09:50:00,99.19,99.19,98.8,98.85,59330
2015-02-03 09:55:00,98.85,99.22,98.85,99.0,104740
2015-02-03 10:00:00,99.0,99.1,98.95,99.05,82230
2015-02-03 10:05:00,99.05,99.42,98.99,99.1,134490
2015-02-03 10:10:00,99.1,99.25,99.1,99.16,52010
2015-02-03 10:15:00,99.16,99.21,98.91,99.0,33850
2015-02-03 10:20:00,99.0,99.01,98.73,98.81,47560
2015-02-03 10:25:00,98.81,99.05,98.75,99.05,78340
2015-02-03 10:30:00,99.05,99.1,99.0,99.1,28830
2015-02-03 10:35:00,99.1,99.35,99.0,99.2,39490
2015-02-03 10:40:00,99.12,99.22,99.0,99.18,47460
2015-02-03 10:45:00,99.18,99.75,99.1,99.73,76110
2015-02-03 10:50:00,99.68,99.7,99.41,99.5,36550
2015-02-03 10:55:00,99.5,99.5,99.13,99.5,58880
2015-02-03 11:00:00,99.5,99.5,99.1,99.22,77990
2015-02-03 11:05:00,99.22,99.62,99.11,99.5,76980
2015-02-03 11:10:00,99.5,99.6,99.24,99.48,25890
2015-02-03 11:15:00,99.48,99.48,99.11,99.18,71210
2015-02-03 11:20:00,99.18,99.25,99.07,99.22,90190
2015-02-03 11:25:00,99.22,99.23,99.1,99.16,30840
2015-02-03 11:30:00,99.16,99.9,99.1,99.89,137890
2015-02-03 11:35:00,99.89,100.58,99.69,99.69,462980
2015-02-03 11:40:00,99.61,99.67,99.1,99.3,230420
2015-02-03 11:45:00,99.3,99.46,99.1,99.17,55140
2015-02-03 11:50:00,99.1,99.3,99.1,99.2,52100
2015-02-03 11:55:00,99.2,99.29,99.1,99.1,56600
2015-02-03 12:00:00,99.1,99.22,99.01,99.08,42700
2015-02-03 12:05:00,99.08,99.17,98.57,98.69,95500
2015-02-03 12:10:00,98.69,98.96,98.6,98.7,63610
2015-02-03 12:15:00,98.7,98.72,98.34,98.5,62850
2015-02-03 12:20:00,98.4,98.69,98.4,98.58,30020
