date,open,high,low,close,volume
2015-02-02 09:15:00,53.23,53.37,52.73,52.87,164031
2015-02-02 09:20:00,53.0,53.1,52.9,53.03,97935
2015-02-02 09:25:00,53.03,53.03,52.9,52.93,57695
2015-02-02 09:30:00,52.93,53.13,52.87,53.13,90284
2015-02-02 09:35:00,53.2,53.43,53.2,53.37,116692
2015-02-02 09:40:00,53.33,53.33,53.1,53.1,133442
2015-02-02 09:45:00,53.07,53.4,53.07,53.33,92093
2015-02-02 09:50:00,53.33,53.53,53.33,53.43,120529
2015-02-02 09:55:00,53.4,53.47,53.37,53.47,77903
2015-02-02 10:00:00,53.47,53.47,53.3,53.43,116280
2015-02-02 10:05:00,53.43,53.43,53.37,53.4,83761
2015-02-02 10:10:00,53.4,53.4,53.33,53.4,82536
2015-02-02 10:15:00,53.4,53.4,53.3,53.37,68964
2015-02-02 10:20:00,53.37,53.37,53.23,53.23,79711
2015-02-02 10:25:00,53.23,53.4,53.23,53.33,88158
2015-02-02 10:30:00,53.33,53.43,53.27,53.37,101352
2015-02-02 10:35:00,53.37,53.4,53.3,53.37,55472
2015-02-02 10:40:00,53.37,53.37,53.27,53.3,61890
2015-02-02 10:45:00,53.3,53.37,53.27,53.33,81542
2015-02-02 10:50:00,53.27,53.33,53.23,53.27,56240
2015-02-02 10:55:00,53.27,53.3,53.1,53.3,91420
2015-02-02 11:00:00,53.3,53.37,53.2,53.27,65863
2015-02-02 11:05:00,53.27,53.3,53.2,53.3,66033
2015-02-02 11:10:00,53.27,53.3,53.23,53.27,64333
2015-02-02 11:15:00,53.27,53.33,53.27,53.3,66619
2015-02-02 11:20:00,53.3,53.3,53.07,53.1,72356
2015-02-02 11:25:00,53.1,53.13,52.83,52.83,92764
2015-02-02 11:30:00,52.83,53.0,52.83,52.97,74096
2015-02-02 11:35:00,52.97,53.0,52.9,52.9,63546
2015-02-02 11:40:00,52.9,52.93,52.83,52.9,64636
2015-02-02 11:45:00,52.9,52.9,52.83,52.83,61222
2015-02-02 11:50:00,52.83,52.83,52.73,52.8,84906
2015-02-02 11:55:00,52.8,52.83,52.7,52.77,91920
2015-02-02 12:00:00,52.77,52.8,52.67,52.73,84576
2015-02-02 12:05:00,52.7,52.77,52.67,52.73,110235
2015-02-02 12:10:00,52.73,52.73,52.57,52.57,99308
2015-02-02 12:15:00,52.57,52.57,52.5,52.5,106096
2015-02-02 12:20:00,52.5,52.53,52.4,52.4,149652
2015-02-02 12:25:00,52.4,52.57,52.37,52.53,137986
2015-02-02 12:30:00,52.57,52.63,52.43,52.43,88660
2015-02-02 12:35:00,52.43,52.5,52.43,52.43,89306
2015-02-02 12:40:00,52.43,52.47,52.4,52.43,54250
2015-02-02 12:45:00,52.43,52.43,52.3,52.37,99398
2015-02-02 12:50:00,52.37,52.47,52.33,52.37,86981
2015-02-02 12:55:00,52.37,52.47,52.37,52.43,74349
2015-02-02 13:00:00,52.37,52.43,52.37,52.4,49456
2015-02-02 13:05:00,52.4,52.43,52.33,52.37,72120
2015-02-02 13:10:00,52.33,52.37,52.27,52.27,73069
2015-02-02 13:15:00,52.27,52.43,52.27,52.33,80985
2015-02-02 13:20:00,52.33,52.33,52.27,52.3,54858
2015-02-02 13:25:00,52.3,52.4,52.3,52.4,58331
2015-02-02 13:30:00,52.4,52.43,52.3,52.33,117017
2015-02-02 13:35:00,52.33,52.53,52.3,52.53,91973
2015-02-02 13:40:00,52.53,52.57,52.4,52.4,168696
2015-02-02 13:45:00,52.47,52.47,52.37,52.37,123234
2015-02-02 13:50:00,52.37,52.43,52.33,52.4,69392
2015-02-02 13:55:00,52.4,52.5,52.33,52.43,92804
2015-02-02 14:00:00,52.43,52.53,52.43,52.47,51666
2015-02-02 14:05:00,52.47,52.77,52.47,52.7,134290
2015-02-02 14:10:00,52.67,52.8,52.63,52.7,98389
2015-02-02 14:15:00,52.67,52.67,52.57,52.6,75929
2015-02-02 14:20:00,52.6,52.63,52.57,52.6,61889
2015-02-02 14:25:00,52.6,52.6,52.43,52.53,77504
2015-02-02 14:30:00,52.53,52.53,52.43,52.43,75936
2015-02-02 14:35:00,52.43,52.43,52.33,52.33,84029
2015-02-02 14:40:00,52.33,52.4,52.3,52.33,56443
2015-02-02 14:45:00,52.3,52.5,52.27,52.43,146255
2015-02-02 14:50:00,52.4,52.43,52.33,52.33,67155
2015-02-02 14:55:00,52.33,52.43,52.33,52.4,69266
2015-02-02 15:00:00,52.4,52.73,52.4,52.6,195153
2015-02-02 15:05:00,52.6,52.73,52.6,52.6,108718
2015-02-02 15:10:00,52.6,52.7,52.6,52.63,153574
2015-02-02 15:15:00,52.63,52.7,52.6,52.67,181225
2015-02-02 15:20:00,52.67,52.77,52.63,52.73,171883
2015-02-02 15:25:00,52.73,52.77,52.53,52.53,185206
2015-02-03 09:15:00,52.9,53.03,52.8,52.97,146028
2015-02-03 09:20:00,52.97,53.1,52.97,53.07,76645
2015-02-03 09:25:00,53.07,53.3,53.03,53.3,112437
2015-02-03 09:30:00,53.3,53.5,53.3,53.4,116355
2015-02-03 09:35:00,53.4,53.47,53.4,53.4,67036
2015-02-03 09:40:00,53.4,53.4,53.13,53.2,95090
2015-02-03 09:45:00,53.13,53.33,53.13,53.27,50470
2015-02-03 09:50:00,53.3,53.33,53.27,53.27,34967
2015-02-03 09:55:00,53.27,53.27,53.03,53.03,49123
2015-02-03 10:00:00,53.03,53.17,53.03,53.1,37978
2015-02-03 10:05:00,53.1,53.23,53.03,53.2,19695
2015-02-03 10:10:00,53.2,53.3,53.1,53.2,88436
2015-02-03 10:15:00,53.2,53.3,53.2,53.27,15444
2015-02-03 10:20:00,53.27,53.3,53.17,53.23,29146
2015-02-03 10:25:00,53.27,53.27,53.2,53.23,10778
2015-02-03 10:30:00,53.23,53.3,53.1,53.3,31495
2015-02-03 10:35:00,53.23,53.43,53.2,53.4,64513
2015-02-03 10:40:00,53.43,53.43,53.3,53.4,59392
2015-02-03 10:45:00,53.4,53.47,53.33,53.4,31160
2015-02-03 10:50:00,53.4,53.4,53.27,53.33,15400
2015-02-03 10:55:00,53.33,53.33,53.27,53.3,11492
2015-02-03 11:00:00,53.27,53.3,53.03,53.3,67461
2015-02-03 11:05:00,53.2,53.23,53.17,53.17,20101
2015-02-03 11:10:00,53.23,53.33,53.17,53.33,26030
2015-02-03 11:15:00,53.37,53.6,53.33,53.57,114014
