date,open,high,low,close,volume
2015-02-02 09:15:00,145.87,146.5,145.62,146.5,360
2015-02-02 09:20:00,146.5,147.0,146.5,147.0,900
2015-02-02 09:25:00,147.0,147.0,146.99,147.0,700
2015-02-02 09:30:00,147.0,147.0,146.99,147.0,130
2015-02-02 09:35:00,147.0,147.0,146.99,146.99,130
2015-02-02 09:40:00,146.99,147.0,146.99,146.99,300
2015-02-02 09:45:00,146.99,147.0,146.99,147.0,190
2015-02-02 09:50:00,147.0,147.0,146.99,147.0,40
2015-02-02 09:55:00,147.0,147.0,146.99,147.0,80
2015-02-02 10:00:00,147.0,147.39,146.99,147.39,420
2015-02-02 10:05:00,147.39,147.4,147.39,147.39,120
2015-02-02 10:10:00,147.39,147.39,146.92,147.1,410
2015-02-02 10:15:00,147.1,147.1,147.1,147.1,0
2015-02-02 10:20:00,147.1,147.1,146.61,146.61,10
2015-02-02 10:25:00,146.61,146.61,146.2,146.3,140
2015-02-02 10:30:00,146.3,146.42,145.87,146.39,1380
2015-02-02 10:35:00,146.39,146.91,146.39,146.89,2030
2015-02-02 10:40:00,146.66,146.88,146.63,146.85,140
2015-02-02 10:45:00,146.85,146.85,146.33,146.37,50
2015-02-02 10:50:00,146.37,146.37,146.37,146.37,0
2015-02-02 10:55:00,146.37,147.5,146.37,147.3,1310
2015-02-02 11:00:00,147.3,147.8,147.23,147.53,7790
2015-02-02 11:05:00,147.53,147.7,147.27,147.42,14340
2015-02-02 11:10:00,147.42,147.43,147.13,147.2,590
2015-02-02 11:15:00,147.2,147.22,147.12,147.22,790
2015-02-02 11:20:00,147.2,147.22,147.11,147.11,160
2015-02-02 11:25:00,147.11,147.18,147.01,147.05,350
2015-02-02 11:30:00,147.05,147.12,147.0,147.0,120
2015-02-02 11:35:00,147.0,147.02,146.51,146.63,660
2015-02-02 11:40:00,146.51,146.77,146.51,146.65,140
2015-02-02 11:45:00,146.65,146.92,146.5,146.65,470
2015-02-02 11:50:00,146.65,146.68,146.5,146.5,100
2015-02-02 11:55:00,146.5,146.52,146.16,146.17,450
2015-02-02 12:00:00,146.17,146.32,146.13,146.16,1450
2015-02-02 12:05:00,146.16,146.17,145.97,145.97,180
2015-02-02 12:10:00,145.97,146.08,145.97,146.06,130
2015-02-02 12:15:00,146.06,146.17,145.81,145.93,430
2015-02-02 12:20:00,145.93,146.3,145.9,146.25,560
2015-02-02 12:25:00,146.25,146.27,146.12,146.18,120
2015-02-02 12:30:00,146.18,146.18,146.12,146.12,110
2015-02-02 12:35:00,146.12,146.25,146.11,146.14,260
2015-02-02 12:40:00,146.14,146.23,146.14,146.23,180
2015-02-02 12:45:00,146.23,146.23,146.1,146.1,530
2015-02-02 12:50:00,146.1,146.2,146.05,146.05,170
2015-02-02 12:55:00,146.01,146.02,146.01,146.01,170
2015-02-02 13:00:00,146.01,146.02,145.82,145.83,1280
2015-02-02 13:05:00,145.83,145.83,144.3,144.31,2290
2015-02-02 13:10:00,144.31,144.49,144.01,144.01,670
2015-02-02 13:15:00,144.01,144.29,144.0,144.01,230
2015-02-02 13:20:00,144.01,144.4,144.0,144.16,490
2015-02-02 13:25:00,144.23,144.49,144.15,144.15,420
2015-02-02 13:30:00,144.1,144.27,144.0,144.03,240
