date,open,high,low,close,volume
2015-02-02 09:15:00,170.15,175.0,170.15,174.45,215571
2015-02-02 09:20:00,174.45,174.75,172.2,172.95,149074
2015-02-02 09:25:00,173.1,173.8,172.4,173.5,65662
2015-02-02 09:30:00,173.5,173.75,172.7,173.0,39344
2015-02-02 09:35:00,173.1,173.3,172.7,172.7,20452
2015-02-02 09:40:00,172.7,172.95,172.45,172.75,25430
2015-02-02 09:45:00,172.75,173.15,172.5,173.0,35565
2015-02-02 09:50:00,172.85,173.6,172.85,173.35,28494
2015-02-02 09:55:00,173.4,173.75,173.05,173.55,27030
2015-02-02 10:00:00,173.45,174.35,172.55,173.9,65472
2015-02-02 10:05:00,173.9,173.9,172.3,172.6,47633
2015-02-02 10:10:00,172.6,172.85,172.3,172.5,31684
2015-02-02 10:15:00,172.5,172.95,172.25,172.3,47293
2015-02-02 10:20:00,172.3,172.65,171.4,171.65,96340
2015-02-02 10:25:00,171.95,172.25,171.6,171.95,42643
2015-02-02 10:30:00,171.95,171.95,170.8,171.25,71722
2015-02-02 10:35:00,171.3,172.05,171.05,171.4,41129
2015-02-02 10:40:00,171.4,171.6,171.2,171.35,32709
2015-02-02 10:45:00,171.35,171.55,171.0,171.2,35120
2015-02-02 10:50:00,171.2,172.0,171.2,171.5,73204
2015-02-02 10:55:00,171.5,171.65,170.95,170.95,23313
2015-02-02 11:00:00,171.05,171.45,170.95,171.15,13936
2015-02-02 11:05:00,171.15,171.4,171.15,171.35,15103
2015-02-02 11:10:00,171.35,171.35,170.45,170.65,40222
2015-02-02 11:15:00,170.65,171.15,170.5,170.9,13570
2015-02-02 11:20:00,170.75,171.45,170.55,171.25,28214
2015-02-02 11:25:00,171.25,171.3,171.05,171.2,10754
2015-02-02 11:30:00,171.2,171.2,171.0,171.05,12090
2015-02-02 11:35:00,171.05,171.3,170.85,170.85,29393
2015-02-02 11:40:00,170.85,170.95,170.65,170.8,15603
2015-02-02 11:45:00,170.8,170.85,170.6,170.65,21177
2015-02-02 11:50:00,170.65,171.15,170.55,170.95,13984
2015-02-02 11:55:00,170.95,171.15,169.6,169.7,88337
2015-02-02 12:00:00,169.7,170.9,169.7,170.55,23381
2015-02-02 12:05:00,170.55,170.6,169.75,169.95,32365
2015-02-02 12:10:00,170.05,171.0,170.0,170.85,37297
2015-02-02 12:15:00,170.95,171.0,170.4,170.5,20772
2015-02-02 12:20:00,170.6,170.85,170.4,170.7,13191
2015-02-02 12:25:00,170.7,170.85,170.3,170.3,21093
2015-02-02 12:30:00,170.5,170.75,170.3,170.5,26895
2015-02-02 12:35:00,170.6,170.75,170.25,170.4,23345
2015-02-02 12:40:00,170.4,170.75,170.35,170.45,20723
2015-02-02 12:45:00,170.55,170.55,170.05,170.25,27388
2015-02-02 12:50:00,170.25,170.5,169.7,169.8,31132
2015-02-02 12:55:00,169.8,170.2,169.8,169.95,29028
2015-02-02 13:00:00,169.9,170.05,169.55,169.8,32372
2015-02-02 13:05:00,169.85,170.95,169.8,170.85,74431
2015-02-02 13:10:00,170.85,170.9,170.0,170.2,29888
2015-02-02 13:15:00,170.1,170.35,169.85,170.05,19247
2015-02-02 13:20:00,170.05,170.4,169.85,170.2,20517
2015-02-02 13:25:00,170.2,170.7,170.0,170.7,25724
2015-02-02 13:30:00,170.7,170.7,170.05,170.4,36219
2015-02-02 13:35:00,170.4,171.15,170.35,171.15,58120
2015-02-02 13:40:00,171.2,171.4,170.45,170.75,62413
2015-02-02 13:45:00,171.15,171.15,170.5,170.8,31691
2015-02-02 13:50:00,170.8,170.95,170.35,170.55,44224
2015-02-02 13:55:00,170.65,170.65,170.05,170.25,26656
2015-02-02 14:00:00,170.25,170.65,170.1,170.3,26547
2015-02-02 14:05:00,170.3,170.55,170.05,170.1,32880
2015-02-02 14:10:00,170.15,170.45,170.05,170.35,36860
2015-02-02 14:15:00,170.35,170.6,169.8,169.85,62651
2015-02-02 14:20:00,169.95,170.05,169.45,169.6,62840
2015-02-02 14:25:00,169.6,169.8,168.95,169.0,80495
2015-02-02 14:30:00,169.0,169.05,168.6,168.65,55840
2015-02-02 14:35:00,168.7,168.8,168.15,168.35,74804
2015-02-02 14:40:00,168.35,168.8,168.2,168.35,46538
2015-02-02 14:45:00,168.45,168.65,168.15,168.3,40528
2015-02-02 14:50:00,168.3,168.45,167.9,168.3,45684
2015-02-02 14:55:00,168.3,169.15,168.05,168.85,51316
2015-02-02 15:00:00,168.85,169.1,168.75,168.75,66142
2015-02-02 15:05:00,169.0,169.0,168.05,168.2,80600
2015-02-02 15:10:00,168.2,168.85,168.0,168.65,110751
2015-02-02 15:15:00,168.65,168.95,168.1,168.55,154329
2015-02-02 15:20:00,168.65,168.8,168.1,168.25,91813
2015-02-02 15:25:00,168.2,168.95,168.1,168.85,144201
2015-02-03 09:15:00,170.65,172.2,169.4,170.85,286228
2015-02-03 09:20:00,170.85,171.7,170.7,171.35,110749
2015-02-03 09:25:00,171.4,171.9,171.35,171.85,108342
2015-02-03 09:30:00,171.95,172.65,171.65,172.35,162976
2015-02-03 09:35:00,172.35,172.35,171.6,172.2,118370
2015-02-03 09:40:00,172.1,172.2,171.7,171.9,49873
2015-02-03 09:45:00,171.9,172.05,171.8,171.85,27798
2015-02-03 09:50:00,171.85,171.9,171.7,171.7,41560
2015-02-03 09:55:00,171.7,171.95,171.7,171.85,105351
2015-02-03 10:00:00,171.85,172.1,171.8,172.0,79346
2015-02-03 10:05:00,171.85,172.1,171.85,171.95,23715
2015-02-03 10:10:00,171.85,173.0,171.85,172.95,112551
2015-02-03 10:15:00,173.0,173.35,172.8,173.1,165270
2015-02-03 10:20:00,173.1,173.35,172.95,173.15,105614
2015-02-03 10:25:00,173.15,173.5,173.15,173.35,51944
2015-02-03 10:30:00,173.35,173.9,173.15,173.85,78474
2015-02-03 10:35:00,173.85,174.45,173.85,173.85,125514
2015-02-03 10:40:00,173.85,175.05,173.85,174.95,249231
2015-02-03 10:45:00,174.95,176.2,174.65,175.6,388224
2015-02-03 10:50:00,175.85,175.85,174.75,175.05,118267
2015-02-03 10:55:00,175.05,175.3,174.45,174.95,72310
2015-02-03 11:00:00,174.95,175.4,174.15,175.05,94266
2015-02-03 11:05:00,175.05,175.45,174.85,175.05,53333
2015-02-03 11:10:00,175.05,175.55,174.95,175.15,59390
2015-02-03 11:15:00,175.15,175.4,174.75,175.25,46891
2015-02-03 11:20:00,175.25,175.55,175.1,175.35,46581
2015-02-03 11:25:00,175.4,175.55,175.15,175.25,44320
2015-02-03 11:30:00,175.25,175.55,175.0,175.1,66187
2015-02-03 11:35:00,175.1,175.25,174.85,174.95,34622
2015-02-03 11:40:00,174.95,175.05,174.55,174.7,50599
2015-02-03 11:45:00,174.6,174.85,174.55,174.6,43665
